-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 00:54:49 UTC. --
Nov 09 00:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:32:51.950010 W | etcdserver: request "header:<ID:14919139277664225028 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:37150625 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (275.833075ms) to execute
Nov 09 00:32:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:32:52.391790 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (260.24237ms) to execute
Nov 09 00:33:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:07.140495 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (140.432331ms) to execute
Nov 09 00:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:29.080635 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (288.050818ms) to execute
Nov 09 00:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:29.080678 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (199.290518ms) to execute
Nov 09 00:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:29.080868 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (170.967906ms) to execute
Nov 09 00:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:50.680230 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (926.564205ms) to execute
Nov 09 00:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:50.680399 W | etcdserver: request "header:<ID:14919139277664225645 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-2nx7p.15d5574c174d71f2\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-2nx7p.15d5574c174d71f2\" value_size:486 lease:5695767240809449244 >> failure:<>>" with result "size:20" took too long (846.502012ms) to execute
Nov 09 00:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:50.680521 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (904.595987ms) to execute
Nov 09 00:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:50.680781 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (610.299449ms) to execute
Nov 09 00:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:33:50.692849 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (604.883643ms) to execute
Nov 09 00:34:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:09.486031 I | mvcc: store.index: compact 37148988
Nov 09 00:34:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:09.490946 I | mvcc: finished scheduled compaction at 37148988 (took 3.434362ms)
Nov 09 00:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:17.548435 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (679.287007ms) to execute
Nov 09 00:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:17.548506 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (649.986061ms) to execute
Nov 09 00:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:17.548563 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-zp5j5.15d5574deeec2755\" " with result "range_response_count:1 size:591" took too long (742.317102ms) to execute
Nov 09 00:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:17.548781 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-27jsx\" " with result "range_response_count:1 size:4028" took too long (562.428695ms) to execute
Nov 09 00:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:17.548842 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (793.565226ms) to execute
Nov 09 00:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 00:34:17.548861 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-27jsx.15d5574df5da2b5f\" " with result "range_response_count:1 size:591" took too long (562.08826ms) to execute
