-- Logs begin at Thu 2019-11-07 09:31:01 UTC, end at Sun 2019-11-10 07:10:27 UTC. --
Nov 10 06:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:48:37.122402 N | compactor: Starting auto-compaction at revision 37369163
Nov 10 06:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:48:37.122871 N | compactor: Finished auto-compaction at revision 37369163
Nov 10 06:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:27.311121 I | mvcc: store.index: compact 37451182
Nov 10 06:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:27.319709 I | mvcc: finished scheduled compaction at 37451182 (took 7.254629ms)
Nov 10 06:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:27.600606 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (261.798561ms) to execute
Nov 10 06:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:27.601157 W | etcdserver: request "header:<ID:14919139277665426835 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-lxlr6.15d5ba5f0b3ce719\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-lxlr6.15d5ba5f0b3ce719\" value_size:485 lease:5695767240810650396 >> failure:<>>" with result "size:20" took too long (239.602381ms) to execute
Nov 10 06:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:27.601335 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (237.593471ms) to execute
Nov 10 06:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:27.601377 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (226.126523ms) to execute
Nov 10 06:49:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:27.601783 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (110.799542ms) to execute
Nov 10 06:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:49:45.183471 W | etcdserver: request "header:<ID:14919139277665427065 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37452229 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (123.665539ms) to execute
Nov 10 06:50:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:50:07.966686 W | etcdserver: request "header:<ID:14919139277665427379 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:37452329 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (149.535706ms) to execute
Nov 10 06:50:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:50:07.967944 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (159.041375ms) to execute
Nov 10 06:50:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:50:07.982491 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-t72zf\" " with result "range_response_count:1 size:3127" took too long (166.241709ms) to execute
Nov 10 06:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:50:08.397939 W | etcdserver: request "header:<ID:14919139277665427390 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-jz774.15d5ba68554c2baf\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-jz774.15d5ba68554c2baf\" value_size:513 lease:5695767240810651033 >> failure:<>>" with result "size:20" took too long (287.134134ms) to execute
Nov 10 06:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:50:23.172910 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (181.508354ms) to execute
Nov 10 06:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:50:23.173390 W | etcdserver: request "header:<ID:14919139277665427647 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" mod_revision:37452176 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" value_size:1626 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" > >>" with result "size:20" took too long (171.644856ms) to execute
Nov 10 06:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:50:23.212603 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (217.876189ms) to execute
Nov 10 06:52:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:52:09.365588 W | etcdserver: request "header:<ID:14919139277665428979 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/istio-system/istio-pilot\" mod_revision:37451047 > success:<request_put:<key:\"/registry/services/endpoints/istio-system/istio-pilot\" value_size:452 >> failure:<request_range:<key:\"/registry/services/endpoints/istio-system/istio-pilot\" > >>" with result "size:20" took too long (120.952365ms) to execute
Nov 10 06:52:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:52:09.365990 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (119.925451ms) to execute
Nov 10 06:52:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:52:09.366473 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (118.720396ms) to execute
Nov 10 06:53:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:53:28.853325 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (421.942108ms) to execute
Nov 10 06:53:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:53:28.853475 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (102.253588ms) to execute
