-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 19:07:37 UTC. --
Dec 16 18:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:46:11.619455 W | wal: sync duration of 1.045091185s, expected less than 1s
Dec 16 18:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:46:11.620086 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (816.522223ms) to execute
Dec 16 18:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:46:11.631646 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (406.568744ms) to execute
Dec 16 18:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:46:11.631683 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (300.930037ms) to execute
Dec 16 18:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:46:11.632075 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (127.189937ms) to execute
Dec 16 18:47:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:47:38.534917 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (118.903291ms) to execute
Dec 16 18:47:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:47:38.535201 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (119.111779ms) to execute
Dec 16 18:47:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:47:38.535283 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (121.137895ms) to execute
Dec 16 18:47:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:47:38.788235 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (194.168955ms) to execute
Dec 16 18:47:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:47:38.788501 W | etcdserver: request "header:<ID:14919139277704863525 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-jxc2q.15e0ee75a3d2997c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-jxc2q.15e0ee75a3d2997c\" value_size:444 lease:5695767240850087694 >> failure:<>>" with result "size:20" took too long (152.905651ms) to execute
Dec 16 18:47:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 18:47:38.789898 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (177.286377ms) to execute
