-- Logs begin at Thu 2019-12-19 16:58:51 UTC, end at Sat 2019-12-21 04:24:07 UTC. --
Dec 21 04:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:01:24.149735 I | mvcc: store.index: compact 45453523
Dec 21 04:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:01:24.151445 W | etcdserver: request "header:<ID:14919139277709114828 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:45453523 > " with result "size:7" took too long (324.08164ms) to execute
Dec 21 04:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:01:24.156868 I | mvcc: finished scheduled compaction at 45453523 (took 5.571209ms)
Dec 21 04:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:01:24.378061 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (103.275869ms) to execute
Dec 21 04:02:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:02:34.672367 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (124.812589ms) to execute
Dec 21 04:02:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:02:34.711679 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-h9ffj\" " with result "range_response_count:1 size:2738" took too long (139.704164ms) to execute
Dec 21 04:02:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:02:34.711968 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (155.991642ms) to execute
Dec 21 04:02:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:02:34.895665 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (120.28266ms) to execute
Dec 21 04:02:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:02:34.895820 W | etcdserver: request "header:<ID:14919139277709115596 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-txbwq\" mod_revision:45455970 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-txbwq\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-txbwq\" > >>" with result "size:20" took too long (118.676189ms) to execute
Dec 21 04:03:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:03:34.772966 W | etcdserver: request "header:<ID:14919139277709116232 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-l8q57\" mod_revision:45456117 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-l8q57\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-l8q57\" > >>" with result "size:20" took too long (158.116876ms) to execute
Dec 21 04:03:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:03:34.774106 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (165.172738ms) to execute
Dec 21 04:03:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:03:34.794387 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (183.274955ms) to execute
