-- Logs begin at Sat 2020-02-01 17:18:38 UTC, end at Mon 2020-02-03 05:09:13 UTC. --
Feb 03 04:46:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:46:30.676987 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000003843aad.snap successfully
Feb 03 04:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:46:33.463887 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l2wbw\" " with result "range_response_count:1 size:2946" took too long (112.840865ms) to execute
Feb 03 04:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:46:33.464012 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (142.10832ms) to execute
Feb 03 04:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:46:33.464243 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (138.118486ms) to execute
Feb 03 04:48:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:48:14.375182 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (100.035835ms) to execute
Feb 03 04:48:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:48:14.375480 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (113.465785ms) to execute
Feb 03 04:48:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:48:53.867995 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (159.583695ms) to execute
Feb 03 04:49:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:49:56.644639 I | mvcc: store.index: compact 53587237
Feb 03 04:49:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:49:56.655366 I | mvcc: finished scheduled compaction at 53587237 (took 7.690306ms)
Feb 03 04:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:50:08.920462 W | etcdserver: request "header:<ID:14919139277752878884 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-gfp9q.15efcb31be0466af\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-gfp9q.15efcb31be0466af\" value_size:444 lease:5695767240898102972 >> failure:<>>" with result "size:20" took too long (172.21852ms) to execute
Feb 03 04:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:50:08.921900 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (178.234386ms) to execute
Feb 03 04:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:50:08.922341 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (179.933155ms) to execute
Feb 03 04:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:50:08.922807 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-gfp9q\" " with result "range_response_count:1 size:2738" took too long (151.225417ms) to execute
Feb 03 04:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:51:04.419654 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (461.882978ms) to execute
Feb 03 04:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:51:04.419809 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (628.87316ms) to execute
Feb 03 04:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 04:51:04.419863 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (144.980176ms) to execute
