-- Logs begin at Mon 2019-12-16 15:39:59 UTC, end at Wed 2019-12-18 04:40:26 UTC. --
Dec 18 04:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:12.120475 W | wal: sync duration of 1.323514896s, expected less than 1s
Dec 18 04:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:12.123978 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (777.751217ms) to execute
Dec 18 04:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:12.124023 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (797.925353ms) to execute
Dec 18 04:18:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:13.824382 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (158.23592ms) to execute
Dec 18 04:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:24.511348 W | wal: sync duration of 1.652767151s, expected less than 1s
Dec 18 04:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:24.516844 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.52337376s) to execute
Dec 18 04:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:24.520098 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (987.328855ms) to execute
Dec 18 04:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:24.520431 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (244.451823ms) to execute
Dec 18 04:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:24.520525 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (329.863941ms) to execute
Dec 18 04:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:24.520976 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (690.52246ms) to execute
Dec 18 04:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:26.571102 W | wal: sync duration of 1.055936221s, expected less than 1s
Dec 18 04:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:26.575373 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (560.426435ms) to execute
Dec 18 04:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:26.575755 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (269.482362ms) to execute
Dec 18 04:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:29.119337 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (528.808953ms) to execute
Dec 18 04:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:29.119441 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (527.756793ms) to execute
Dec 18 04:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:18:35.925897 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (312.843712ms) to execute
