-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Wed 2019-12-18 00:33:52 UTC. --
Dec 18 00:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:13:12.496768 N | compactor: Starting auto-compaction at revision 44590561
Dec 18 00:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:13:12.497215 N | compactor: Finished auto-compaction at revision 44590561
Dec 18 00:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:50.160836 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-p8fpw.15e14ec712374e7d\" " with result "range_response_count:1 size:592" took too long (746.864567ms) to execute
Dec 18 00:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:50.161553 W | etcdserver: failed to revoke 4f0b6e20ca3efe38 ("lease not found")
Dec 18 00:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:50.161902 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (190.633786ms) to execute
Dec 18 00:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:50.646765 I | mvcc: store.index: compact 44670357
Dec 18 00:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:50.653692 I | mvcc: finished scheduled compaction at 44670357 (took 5.630262ms)
Dec 18 00:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:51.739103 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (266.053674ms) to execute
Dec 18 00:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:51.739223 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (265.497448ms) to execute
Dec 18 00:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:51.739315 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (265.007986ms) to execute
Dec 18 00:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:51.739336 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (267.1482ms) to execute
Dec 18 00:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:51.739420 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (207.697215ms) to execute
Dec 18 00:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:51.739437 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (266.272334ms) to execute
Dec 18 00:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:56.183129 W | wal: sync duration of 1.133920843s, expected less than 1s
Dec 18 00:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:56.185919 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (871.564862ms) to execute
Dec 18 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:57.089655 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.313839743s) to execute
Dec 18 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:57.089968 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (906.568928ms) to execute
Dec 18 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:57.089994 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.41632858s) to execute
Dec 18 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:57.131556 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (937.33581ms) to execute
Dec 18 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:57.131644 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (543.222953ms) to execute
