-- Logs begin at Sun 2019-11-10 13:31:09 UTC, end at Tue 2019-11-12 15:53:56 UTC. --
Nov 12 15:35:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:35:50.845474 I | mvcc: store.index: compact 38022127
Nov 12 15:35:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:35:50.851447 I | mvcc: finished scheduled compaction at 38022127 (took 4.369294ms)
Nov 12 15:36:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:36:19.624070 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000552-00000000027fbd5d.wal is created
Nov 12 15:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:36:20.298061 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000054d-00000000027d2e4c.wal successfully
Nov 12 15:37:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:37:29.035211 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-c2nl2\" " with result "range_response_count:1 size:1118" took too long (116.08451ms) to execute
Nov 12 15:37:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:37:29.063836 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pg4ww\" " with result "range_response_count:1 size:1121" took too long (144.805857ms) to execute
Nov 12 15:38:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:38:29.127297 W | etcdserver: request "header:<ID:14919139277667672518 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d67467ccf7988b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d67467ccf7988b\" value_size:354 lease:5695767240812896700 >> failure:<>>" with result "size:20" took too long (121.070942ms) to execute
Nov 12 15:38:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:38:29.127721 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9nntk\" " with result "range_response_count:1 size:1121" took too long (128.298314ms) to execute
Nov 12 15:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:40:29.319617 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (141.675678ms) to execute
Nov 12 15:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:40:29.350110 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9sj2m\" " with result "range_response_count:1 size:1121" took too long (134.452058ms) to execute
Nov 12 15:40:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 15:40:50.892262 I | mvcc: store.index: compact 38022975
