-- Logs begin at Wed 2019-12-18 15:20:13 UTC, end at Fri 2019-12-20 01:54:35 UTC. --
Dec 20 01:32:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:32:33.519224 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (542.02593ms) to execute
Dec 20 01:33:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:04.345037 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (1.10106618s) to execute
Dec 20 01:33:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:04.345386 W | etcdserver: request "header:<ID:14919139277708002935 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45167997 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (742.626545ms) to execute
Dec 20 01:33:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:04.345573 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (385.334344ms) to execute
Dec 20 01:33:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:04.345619 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (387.542525ms) to execute
Dec 20 01:33:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:06.080225 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (601.208489ms) to execute
Dec 20 01:33:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:06.080385 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1485" took too long (672.632746ms) to execute
Dec 20 01:33:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:09.011261 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (317.875266ms) to execute
Dec 20 01:33:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:09.011953 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (543.18734ms) to execute
Dec 20 01:33:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:30.092164 W | etcdserver: request "header:<ID:14919139277708003132 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-rwp5j.15e1f054e7eb904c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-rwp5j.15e1f054e7eb904c\" value_size:486 lease:5695767240853227321 >> failure:<>>" with result "size:20" took too long (128.416292ms) to execute
Dec 20 01:33:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:35.899995 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (331.10095ms) to execute
Dec 20 01:33:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:37.451864 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (324.91552ms) to execute
Dec 20 01:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:40.157081 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rwp5j.15e1f054e7eb904c\" " with result "range_response_count:1 size:591" took too long (193.560332ms) to execute
Dec 20 01:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:44.299849 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (414.092518ms) to execute
Dec 20 01:33:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:45.987981 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (206.000645ms) to execute
Dec 20 01:33:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:45.988111 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (343.217346ms) to execute
Dec 20 01:33:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:51.858817 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rwp5j\" " with result "range_response_count:1 size:1624" took too long (345.36607ms) to execute
Dec 20 01:33:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:51.858988 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rwp5j.15e1f0554381a7be\" " with result "range_response_count:1 size:592" took too long (345.683447ms) to execute
Dec 20 01:33:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:55.776653 W | etcdserver: request "header:<ID:14919139277708003358 > lease_revoke:<id:4f0b6e20ca5c5434>" with result "size:29" took too long (936.160186ms) to execute
Dec 20 01:33:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:55.776823 W | etcdserver: failed to revoke 4f0b6e20ca5c5434 ("lease not found")
Dec 20 01:33:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:55.776927 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ljqgl\" " with result "range_response_count:1 size:1624" took too long (325.355214ms) to execute
Dec 20 01:33:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:55.776966 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (526.850559ms) to execute
Dec 20 01:33:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:55.777015 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ljqgl.15e1f057f49e7618\" " with result "range_response_count:1 size:592" took too long (325.430882ms) to execute
Dec 20 01:33:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:55.777275 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-68929.15e1f054e2b5f312\" " with result "range_response_count:1 size:591" took too long (299.997307ms) to execute
