-- Logs begin at Fri 2019-12-20 03:39:40 UTC, end at Sat 2019-12-21 12:16:07 UTC. --
Dec 21 11:56:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:56:30.300864 I | mvcc: store.index: compact 45533298
Dec 21 11:56:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:56:30.305950 I | mvcc: finished scheduled compaction at 45533298 (took 4.204287ms)
Dec 21 11:58:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:58:35.289254 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fkwx6\" " with result "range_response_count:1 size:1121" took too long (140.395139ms) to execute
Dec 21 11:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:20.316203 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (223.225754ms) to execute
Dec 21 11:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:50.623064 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e2611b8ae745fe\" " with result "range_response_count:1 size:485" took too long (154.447817ms) to execute
Dec 21 11:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:50.658540 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l6shq\" " with result "range_response_count:1 size:1118" took too long (174.345626ms) to execute
Dec 21 11:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:50.658629 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (183.763885ms) to execute
Dec 21 11:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:50.659081 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-j5whb\" " with result "range_response_count:1 size:1121" took too long (174.362693ms) to execute
Dec 21 11:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:50.659335 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m9mvd\" " with result "range_response_count:1 size:1121" took too long (190.062148ms) to execute
Dec 21 11:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:50.659430 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (184.831273ms) to execute
Dec 21 11:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 11:59:50.659629 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s4lqc\" " with result "range_response_count:1 size:1121" took too long (182.431062ms) to execute
