-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Wed 2019-12-18 00:09:42 UTC. --
Dec 17 23:49:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:49:50.385840 I | mvcc: store.index: compact 44665467
Dec 17 23:49:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:49:50.394349 I | mvcc: finished scheduled compaction at 44665467 (took 6.737974ms)
Dec 17 23:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:54:15.161977 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jl6w9.15e14dafdf7d41db\" " with result "range_response_count:1 size:564" took too long (107.201547ms) to execute
Dec 17 23:54:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:54:21.423607 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (104.126951ms) to execute
Dec 17 23:54:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:54:50.416585 I | mvcc: store.index: compact 44666217
Dec 17 23:54:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:54:50.423364 I | mvcc: finished scheduled compaction at 44666217 (took 5.436758ms)
Dec 17 23:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:57:17.166003 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1911" took too long (141.678899ms) to execute
Dec 17 23:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:57:17.166192 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/default/\" range_end:\"/registry/resourcequotas/default0\" " with result "range_response_count:0 size:7" took too long (142.667143ms) to execute
Dec 17 23:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:57:17.397092 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (131.010422ms) to execute
Dec 17 23:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:57:17.397410 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (106.400413ms) to execute
Dec 17 23:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:57:32.139660 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1911" took too long (135.04971ms) to execute
Dec 17 23:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:57:32.139914 W | etcdserver: request "header:<ID:14919139277706024047 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-kldkl\" mod_revision:44667774 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-kldkl\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-kldkl\" > >>" with result "size:20" took too long (121.439737ms) to execute
Dec 17 23:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:57:32.373546 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (134.726826ms) to execute
Dec 17 23:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:59:50.574375 I | mvcc: store.index: compact 44667200
Dec 17 23:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:59:50.575545 W | etcdserver: request "header:<ID:14919139277706025552 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:44667200 > " with result "size:7" took too long (129.113163ms) to execute
Dec 17 23:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:59:50.583148 I | mvcc: finished scheduled compaction at 44667200 (took 7.100783ms)
Dec 17 23:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:59:52.682866 I | etcdserver: start to snapshot (applied: 49246062, lastsnap: 49236061)
Dec 17 23:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:59:52.882833 I | etcdserver: saved snapshot at index 49246062
Dec 17 23:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:59:52.883424 I | etcdserver: compacted raft log at 49241062
Dec 18 00:00:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:00:12.391633 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002eeac19.snap successfully
Dec 18 00:00:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:00:43.280595 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-kldkl.15e14def726bce56\" " with result "range_response_count:1 size:561" took too long (124.22029ms) to execute
Dec 18 00:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:00:53.014476 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (449.748158ms) to execute
Dec 18 00:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:00:53.149660 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (409.200588ms) to execute
