-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 04:15:50 UTC. --
Nov 09 03:54:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:54:12.171849 I | mvcc: store.index: compact 37183656
Nov 09 03:54:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:54:12.176836 I | mvcc: finished scheduled compaction at 37183656 (took 3.480063ms)
Nov 09 03:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:28.761389 W | etcdserver: request "header:<ID:14919139277664362598 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-zjkmk.15d5624d352716ee\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-zjkmk.15d5624d352716ee\" value_size:444 lease:5695767240809586306 >> failure:<>>" with result "size:20" took too long (174.700586ms) to execute
Nov 09 03:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:28.764192 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (174.02619ms) to execute
Nov 09 03:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:28.796028 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-zjkmk\" " with result "range_response_count:1 size:2738" took too long (110.334204ms) to execute
Nov 09 03:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:28.796081 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (205.651134ms) to execute
Nov 09 03:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:29.003087 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (169.033987ms) to execute
Nov 09 03:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:29.003426 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-9djmg.15d5622d180bb206\" " with result "range_response_count:1 size:561" took too long (144.959878ms) to execute
Nov 09 03:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:29.003442 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-csxz9\" " with result "range_response_count:1 size:2738" took too long (146.164761ms) to execute
Nov 09 03:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:29.003804 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (136.596202ms) to execute
Nov 09 03:55:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 03:55:43.715020 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (120.36061ms) to execute
