-- Logs begin at Sun 2019-10-27 23:59:01 UTC, end at Fri 2019-11-01 13:23:43 UTC. --
Nov 01 13:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:01:33.003244 I | mvcc: store.index: compact 35417272
Nov 01 13:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:01:33.011394 I | mvcc: finished scheduled compaction at 35417272 (took 6.166964ms)
Nov 01 13:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:01:33.413945 W | etcdserver: request "header:<ID:14919139277657329117 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35418770 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (243.154995ms) to execute
Nov 01 13:06:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:06:33.019770 I | mvcc: store.index: compact 35418793
Nov 01 13:06:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:06:33.028906 I | mvcc: finished scheduled compaction at 35418793 (took 7.56481ms)
Nov 01 13:06:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:06:33.699563 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (302.376278ms) to execute
Nov 01 13:06:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:06:33.699611 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (433.045847ms) to execute
Nov 01 13:06:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:06:33.699710 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-hwnbg\" " with result "range_response_count:1 size:2314" took too long (613.880477ms) to execute
Nov 01 13:06:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:06:33.699800 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (383.876422ms) to execute
Nov 01 13:06:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:06:33.699884 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-hwnbg\" " with result "range_response_count:1 size:2314" took too long (545.744537ms) to execute
Nov 01 13:08:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:08:27.318115 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (161.031584ms) to execute
Nov 01 13:08:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:08:27.322150 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (149.554215ms) to execute
Nov 01 13:08:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:08:27.322598 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (152.587655ms) to execute
Nov 01 13:10:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:47.262153 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (147.213067ms) to execute
Nov 01 13:10:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:53.529023 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (142.833543ms) to execute
Nov 01 13:10:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:53.818676 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (279.731393ms) to execute
Nov 01 13:10:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:53.818763 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (165.683969ms) to execute
Nov 01 13:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:57.055015 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (100.034734ms) to execute
Nov 01 13:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:57.216753 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (153.803235ms) to execute
Nov 01 13:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:57.216794 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (148.579142ms) to execute
Nov 01 13:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:10:57.217010 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (122.853927ms) to execute
Nov 01 13:11:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:11:02.144559 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-6x847.15d30af45d65c8f8\" " with result "range_response_count:1 size:657" took too long (251.485165ms) to execute
Nov 01 13:11:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:11:02.430826 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (120.303821ms) to execute
Nov 01 13:11:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:11:02.628490 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (112.95177ms) to execute
Nov 01 13:11:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:11:07.452247 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (146.177501ms) to execute
Nov 01 13:11:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:11:33.033441 I | mvcc: store.index: compact 35419440
Nov 01 13:11:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:11:33.039822 I | mvcc: finished scheduled compaction at 35419440 (took 4.912243ms)
Nov 01 13:13:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:13:14.200713 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/logentries\" range_end:\"/registry/config.istio.io/logentriet\" count_only:true " with result "range_response_count:0 size:9" took too long (105.602186ms) to execute
Nov 01 13:16:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:16:33.046611 I | mvcc: store.index: compact 35420170
Nov 01 13:16:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:16:33.056061 I | mvcc: finished scheduled compaction at 35420170 (took 7.291298ms)
Nov 01 13:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:41.014566 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (231.284438ms) to execute
Nov 01 13:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:41.015047 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (250.335644ms) to execute
Nov 01 13:17:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:42.353298 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (104.733338ms) to execute
Nov 01 13:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:43.326816 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (141.513783ms) to execute
Nov 01 13:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:43.326947 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (158.133286ms) to execute
Nov 01 13:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:44.212374 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (759.932707ms) to execute
Nov 01 13:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:44.212457 W | etcdserver: request "header:<ID:14919139277657339420 > lease_revoke:<id:4f0b6e20c757f594>" with result "size:29" took too long (232.125936ms) to execute
Nov 01 13:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:47.487664 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (215.918605ms) to execute
Nov 01 13:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:47.487923 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (142.044724ms) to execute
Nov 01 13:17:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:48.135777 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (253.728587ms) to execute
Nov 01 13:17:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:48.135829 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (253.957179ms) to execute
Nov 01 13:17:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:48.135866 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.rbac.istio.io\" " with result "range_response_count:1 size:653" took too long (253.942386ms) to execute
Nov 01 13:17:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:48.135929 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (254.059755ms) to execute
Nov 01 13:17:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:48.135979 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (253.083196ms) to execute
Nov 01 13:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:49.580782 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (395.202347ms) to execute
Nov 01 13:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:49.899845 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-hwnbg\" " with result "range_response_count:1 size:2314" took too long (100.284919ms) to execute
Nov 01 13:17:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 13:17:52.049128 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (194.605406ms) to execute
