-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sat 2020-02-01 23:37:59 UTC. --
Feb 01 23:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:38.417189 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (151.517491ms) to execute
Feb 01 23:14:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:41.260784 W | etcdserver: request "header:<ID:14919139277751707143 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53298045 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (272.298714ms) to execute
Feb 01 23:14:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:47.962077 W | etcdserver: request "header:<ID:14919139277751707240 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:53298097 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:374 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (122.284783ms) to execute
Feb 01 23:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:51.698588 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds\" range_end:\"/registry/config.istio.io/fluentdt\" count_only:true " with result "range_response_count:0 size:7" took too long (183.849401ms) to execute
Feb 01 23:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:51.698927 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (164.296293ms) to execute
Feb 01 23:14:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:53.960657 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (250.303271ms) to execute
Feb 01 23:15:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:15:11.459933 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (140.404747ms) to execute
Feb 01 23:15:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:15:11.460227 W | etcdserver: request "header:<ID:14919139277751707593 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53298185 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (136.500919ms) to execute
Feb 01 23:15:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:15:12.954931 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5942" took too long (125.11728ms) to execute
Feb 01 23:15:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:15:12.955261 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (129.5139ms) to execute
Feb 01 23:15:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:15:12.955580 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (134.482213ms) to execute
Feb 01 23:15:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:15:13.183756 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (126.470345ms) to execute
Feb 01 23:15:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:15:13.210404 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (104.78175ms) to execute
Feb 01 23:16:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:16:11.831875 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (117.152745ms) to execute
