-- Logs begin at Sat 2019-10-26 21:27:07 UTC, end at Fri 2019-11-01 02:56:59 UTC. --
Nov 01 02:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:20.341583 W | etcdserver: request "header:<ID:14919139277656908105 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n48p4\" mod_revision:35305590 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n48p4\" value_size:3034 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n48p4\" > >>" with result "size:20" took too long (133.009075ms) to execute
Nov 01 02:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:20.342264 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (139.591918ms) to execute
Nov 01 02:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:20.361993 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (155.714243ms) to execute
Nov 01 02:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:20.559840 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (109.733419ms) to execute
Nov 01 02:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:20.598902 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n48p4\" " with result "range_response_count:1 size:3128" took too long (130.546415ms) to execute
Nov 01 02:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:20.598990 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (148.014255ms) to execute
Nov 01 02:36:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:24.682786 I | mvcc: store.index: compact 35307755
Nov 01 02:36:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:24.689070 I | mvcc: finished scheduled compaction at 35307755 (took 4.646616ms)
Nov 01 02:36:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:35.568736 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (145.7378ms) to execute
Nov 01 02:38:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:38:30.275038 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (785.815846ms) to execute
Nov 01 02:39:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:39:04.670098 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (148.350657ms) to execute
Nov 01 02:41:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:41:24.694099 I | mvcc: store.index: compact 35309285
Nov 01 02:41:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:41:24.702906 I | mvcc: finished scheduled compaction at 35309285 (took 6.84778ms)
Nov 01 02:41:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:41:25.406979 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (250.928823ms) to execute
Nov 01 02:41:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:41:25.407130 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (205.565493ms) to execute
Nov 01 02:46:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:46:06.444745 N | compactor: Starting auto-compaction at revision 35233886
Nov 01 02:46:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:46:06.445089 N | compactor: Finished auto-compaction at revision 35233886
Nov 01 02:46:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:46:24.708923 I | mvcc: store.index: compact 35309888
