-- Logs begin at Thu 2019-10-31 22:09:41 UTC, end at Sun 2019-11-03 18:44:50 UTC. --
Nov 03 18:24:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:24:25.185143 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000050d-00000000025d08bd.wal is created
Nov 03 18:24:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:24:36.925990 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000508-00000000025a9b2e.wal successfully
Nov 03 18:27:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:27:18.665948 I | mvcc: store.index: compact 35919843
Nov 03 18:27:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:27:18.674673 I | mvcc: finished scheduled compaction at 35919843 (took 6.832049ms)
Nov 03 18:27:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:27:19.178340 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (146.46597ms) to execute
Nov 03 18:27:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:27:19.179447 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (337.694899ms) to execute
Nov 03 18:27:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:27:19.179941 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (370.169905ms) to execute
Nov 03 18:27:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:27:19.180262 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-5pmx9\" " with result "range_response_count:1 size:2440" took too long (265.714646ms) to execute
Nov 03 18:32:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:32:18.805895 I | mvcc: store.index: compact 35920426
Nov 03 18:32:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:32:18.807780 W | etcdserver: request "header:<ID:14919139277659421218 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:35920426 > " with result "size:7" took too long (102.500473ms) to execute
Nov 03 18:32:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:32:18.812855 I | mvcc: finished scheduled compaction at 35920426 (took 5.155392ms)
Nov 03 18:32:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:32:19.077018 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (103.668745ms) to execute
Nov 03 18:37:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:37:18.823727 I | mvcc: store.index: compact 35920978
Nov 03 18:37:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:37:18.829820 I | mvcc: finished scheduled compaction at 35920978 (took 4.396837ms)
Nov 03 18:39:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:39:56.662647 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (126.532559ms) to execute
Nov 03 18:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:42:18.836439 I | mvcc: store.index: compact 35921512
Nov 03 18:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 18:42:18.843693 I | mvcc: finished scheduled compaction at 35921512 (took 5.061288ms)
