-- Logs begin at Mon 2019-12-16 21:28:28 UTC, end at Wed 2019-12-18 12:34:24 UTC. --
Dec 18 12:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:13:12.636153 N | compactor: Starting auto-compaction at revision 44709314
Dec 18 12:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:13:12.636730 N | compactor: Finished auto-compaction at revision 44709314
Dec 18 12:13:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:13:36.628997 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (166.446199ms) to execute
Dec 18 12:13:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:13:36.629168 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ldn8r.15e1761930fa4064\" " with result "range_response_count:1 size:591" took too long (168.62033ms) to execute
Dec 18 12:13:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:13:36.629232 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (148.526121ms) to execute
Dec 18 12:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:14:37.227109 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (199.373049ms) to execute
Dec 18 12:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:14:37.227248 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (194.018392ms) to execute
Dec 18 12:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:14:37.230544 W | etcdserver: request "header:<ID:14919139277706506380 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-nzr9n.15e1762c4371ebf1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-nzr9n.15e1762c4371ebf1\" value_size:444 lease:5695767240851730543 >> failure:<>>" with result "size:20" took too long (168.683656ms) to execute
Dec 18 12:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:14:37.246556 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (201.6837ms) to execute
Dec 18 12:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:14:37.246944 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-h2k2j\" " with result "range_response_count:1 size:2738" took too long (200.239061ms) to execute
Dec 18 12:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:14:37.247124 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:836" took too long (203.714995ms) to execute
Dec 18 12:15:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:12.050889 I | mvcc: store.index: compact 44790425
Dec 18 12:15:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:12.058160 I | mvcc: finished scheduled compaction at 44790425 (took 5.907077ms)
Dec 18 12:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:37.923905 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (166.844347ms) to execute
Dec 18 12:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:37.923980 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (112.430531ms) to execute
Dec 18 12:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:37.924025 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-gzl97\" " with result "range_response_count:1 size:2738" took too long (161.733207ms) to execute
Dec 18 12:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:37.924085 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (180.956093ms) to execute
Dec 18 12:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:37.924299 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (167.510068ms) to execute
Dec 18 12:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:15:37.924483 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (167.983054ms) to execute
Dec 18 12:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:17:44.029618 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (127.591586ms) to execute
Dec 18 12:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:17:44.032475 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (130.187675ms) to execute
Dec 18 12:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:17:44.032507 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fksqf\" " with result "range_response_count:1 size:2946" took too long (116.209654ms) to execute
Dec 18 12:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:17:44.032863 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (130.055172ms) to execute
Dec 18 12:20:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:20:12.064208 I | mvcc: store.index: compact 44792231
Dec 18 12:20:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:20:12.074939 I | mvcc: finished scheduled compaction at 44792231 (took 9.352651ms)
Dec 18 12:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:20:13.303997 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.147117333s) to execute
Dec 18 12:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:20:13.304759 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fksqf\" " with result "range_response_count:1 size:4260" took too long (748.93585ms) to execute
Dec 18 12:24:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 12:24:33.448597 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (176.819229ms) to execute
