-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 13:13:32 UTC. --
Nov 03 12:52:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:52:01.650912 I | mvcc: store.index: compact 35860965
Nov 03 12:52:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:52:01.658806 I | mvcc: finished scheduled compaction at 35860965 (took 6.191854ms)
Nov 03 12:53:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:53:25.217400 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (138.919352ms) to execute
Nov 03 12:53:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:53:25.217578 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-z2z54\" " with result "range_response_count:1 size:3128" took too long (124.355719ms) to execute
Nov 03 12:53:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:53:40.250376 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (163.165199ms) to execute
Nov 03 12:53:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:53:40.250501 W | etcdserver: request "header:<ID:14919139277659194364 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway.15d39e7d01042738\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway.15d39e7d01042738\" value_size:390 lease:5695767240804418073 >> failure:<>>" with result "size:20" took too long (121.891773ms) to execute
Nov 03 12:53:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:53:40.256825 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (140.329916ms) to execute
Nov 03 12:53:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:53:40.492531 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:995" took too long (174.684385ms) to execute
Nov 03 12:53:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:53:40.492654 W | etcdserver: request "header:<ID:14919139277659194383 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:35862683 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (140.268174ms) to execute
Nov 03 12:56:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:56:45.871060 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (527.644089ms) to execute
Nov 03 12:56:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:56:45.871519 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (117.00992ms) to execute
