-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 04:40:47 UTC. --
Feb 01 04:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:18:10.938297 W | etcdserver: request "header:<ID:14919139277750963921 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-vbgwv.15ef2c4a0d9baf8d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-vbgwv.15ef2c4a0d9baf8d\" value_size:389 lease:5695767240896188094 >> failure:<>>" with result "size:20" took too long (120.915308ms) to execute
Feb 01 04:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:18:10.939060 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (134.522371ms) to execute
Feb 01 04:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:18:10.939114 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (133.345832ms) to execute
Feb 01 04:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:18:10.939342 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vbgwv\" " with result "range_response_count:1 size:1118" took too long (124.313884ms) to execute
Feb 01 04:18:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:18:32.504049 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (331.811638ms) to execute
Feb 01 04:18:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:18:32.504703 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (215.278303ms) to execute
Feb 01 04:19:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:19:12.487277 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (139.605031ms) to execute
Feb 01 04:19:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:19:12.508296 I | mvcc: store.index: compact 53108141
Feb 01 04:19:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:19:12.515805 I | mvcc: finished scheduled compaction at 53108141 (took 6.50748ms)
Feb 01 04:24:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:24:12.520121 I | mvcc: store.index: compact 53108930
Feb 01 04:24:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:24:12.526929 I | mvcc: finished scheduled compaction at 53108930 (took 5.083254ms)
Feb 01 04:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:24:17.735550 N | compactor: Starting auto-compaction at revision 53027764
Feb 01 04:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:24:17.735990 N | compactor: Finished auto-compaction at revision 53027764
Feb 01 04:26:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:26:11.902258 W | etcdserver: request "header:<ID:14919139277750968418 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-85zkj\" mod_revision:53110094 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-85zkj\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-85zkj\" > >>" with result "size:20" took too long (125.28713ms) to execute
Feb 01 04:29:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:29:12.533286 I | mvcc: store.index: compact 53109768
Feb 01 04:29:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:29:12.540457 I | mvcc: finished scheduled compaction at 53109768 (took 5.722603ms)
Feb 01 04:30:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:30:12.178331 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (103.81443ms) to execute
Feb 01 04:30:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:30:12.178730 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v75jb\" " with result "range_response_count:1 size:1121" took too long (103.228111ms) to execute
Feb 01 04:33:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:33:12.453082 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7vxgz\" " with result "range_response_count:1 size:1121" took too long (155.102723ms) to execute
Feb 01 04:33:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:33:12.484772 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zhnll\" " with result "range_response_count:1 size:1121" took too long (148.989009ms) to execute
Feb 01 04:33:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:33:12.484872 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef2d1bf0dc7c6f\" " with result "range_response_count:1 size:485" took too long (183.996166ms) to execute
Feb 01 04:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:34:12.537381 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l6skj\" " with result "range_response_count:1 size:1121" took too long (142.128078ms) to execute
Feb 01 04:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:34:12.574847 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sj8bb\" " with result "range_response_count:1 size:1121" took too long (175.767449ms) to execute
Feb 01 04:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:34:12.691496 I | mvcc: store.index: compact 53110656
Feb 01 04:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:34:12.692907 W | etcdserver: request "header:<ID:14919139277750973090 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:53110656 > " with result "size:7" took too long (111.908303ms) to execute
Feb 01 04:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:34:12.698869 I | mvcc: finished scheduled compaction at 53110656 (took 6.001212ms)
Feb 01 04:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:34:12.704358 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5z6bp\" " with result "range_response_count:1 size:1121" took too long (117.180484ms) to execute
Feb 01 04:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 04:34:12.727318 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (139.64025ms) to execute
