-- Logs begin at Mon 2019-12-16 15:39:59 UTC, end at Wed 2019-12-18 07:10:18 UTC. --
Dec 18 06:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:50:08.993707 I | mvcc: store.index: compact 44734621
Dec 18 06:50:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:50:09.001982 I | mvcc: finished scheduled compaction at 44734621 (took 6.253094ms)
Dec 18 06:50:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:50:44.881134 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5ccbm.15e16450acc2d343\" " with result "range_response_count:1 size:550" took too long (181.50064ms) to execute
Dec 18 06:52:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:52:54.849765 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (148.547326ms) to execute
Dec 18 06:52:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:52:54.849828 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-826mv\" " with result "range_response_count:1 size:1121" took too long (140.961276ms) to execute
Dec 18 06:52:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:52:54.854025 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (135.11954ms) to execute
Dec 18 06:52:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:52:54.854070 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (125.289216ms) to execute
Dec 18 06:52:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:52:54.854204 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (135.279722ms) to execute
Dec 18 06:52:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:52:54.854337 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9wnn6\" " with result "range_response_count:1 size:1121" took too long (124.734076ms) to execute
Dec 18 06:55:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:55:09.008600 I | mvcc: store.index: compact 44736297
Dec 18 06:55:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:55:09.022134 I | mvcc: finished scheduled compaction at 44736297 (took 11.27077ms)
Dec 18 06:55:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:55:09.509078 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (370.871912ms) to execute
Dec 18 06:57:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:57:40.402174 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e164d2939c3a23\" " with result "range_response_count:1 size:485" took too long (139.251075ms) to execute
Dec 18 06:57:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:57:40.403121 W | etcdserver: request "header:<ID:14919139277706298535 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-7ptmr\" mod_revision:44737605 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-7ptmr\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-7ptmr\" > >>" with result "size:20" took too long (118.03437ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.359647 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-74jwq\" " with result "range_response_count:1 size:1118" took too long (130.683388ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.359788 W | etcdserver: request "header:<ID:14919139277706299129 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-k2swr.15e164ee8942f817\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-k2swr.15e164ee8942f817\" value_size:392 lease:5695767240851523284 >> failure:<>>" with result "size:20" took too long (120.055125ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.359931 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (130.760653ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.360112 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hlhm2\" " with result "range_response_count:1 size:1121" took too long (120.857576ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.360675 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e164d2939c3a23\" " with result "range_response_count:1 size:485" took too long (120.294699ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.391794 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (100.995171ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.391910 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zx76g\" " with result "range_response_count:1 size:1121" took too long (137.099149ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.578897 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e164d2939c3a23\" " with result "range_response_count:1 size:485" took too long (133.46749ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.579017 W | etcdserver: request "header:<ID:14919139277706299145 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-br8wt\" mod_revision:44737805 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-br8wt\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-br8wt\" > >>" with result "size:20" took too long (112.823533ms) to execute
Dec 18 06:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 06:58:40.579260 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (130.552251ms) to execute
Dec 18 07:00:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:00:09.023249 I | mvcc: store.index: compact 44737136
Dec 18 07:00:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:00:09.028814 I | mvcc: finished scheduled compaction at 44737136 (took 4.555153ms)
Dec 18 07:00:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:00:09.206473 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (149.36952ms) to execute
Dec 18 07:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:05:09.054767 I | mvcc: store.index: compact 44738080
Dec 18 07:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:05:09.062591 I | mvcc: finished scheduled compaction at 44738080 (took 6.409192ms)
