-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Mon 2019-10-07 12:55:59 UTC. --
Oct 07 12:36:15 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:15.262212 I | mvcc: store.index: compact 31633674
Oct 07 12:36:15 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:15.272008 I | mvcc: finished scheduled compaction at 31633674 (took 8.47857ms)
Oct 07 12:36:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:40.018261 W | etcdserver: request "header:<ID:14919138748424182397 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:31619962 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (101.428071ms) to execute
Oct 07 12:36:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:40.018780 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (111.079802ms) to execute
Oct 07 12:36:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:40.282993 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (185.418366ms) to execute
Oct 07 12:36:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:40.283084 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-k4p8t\" " with result "range_response_count:1 size:2738" took too long (147.74177ms) to execute
Oct 07 12:36:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:40.283172 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (160.79284ms) to execute
Oct 07 12:36:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:40.283488 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (161.109609ms) to execute
Oct 07 12:36:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:55.064406 W | etcdserver: request "header:<ID:14919138748424182668 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-q4txw\" mod_revision:31635064 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-q4txw\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-q4txw\" > >>" with result "size:20" took too long (135.844756ms) to execute
Oct 07 12:36:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:55.065104 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (142.039124ms) to execute
Oct 07 12:36:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:55.065222 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (142.285358ms) to execute
Oct 07 12:36:55 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:36:55.065294 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (122.985299ms) to execute
Oct 07 12:37:39 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:37:39.733381 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (145.506849ms) to execute
Oct 07 12:39:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:39:34.295902 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (288.417255ms) to execute
Oct 07 12:39:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:39:34.296026 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-2kvk4\" " with result "range_response_count:1 size:2314" took too long (128.681562ms) to execute
Oct 07 12:40:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:40:27.672912 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (110.512401ms) to execute
Oct 07 12:41:15 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:41:15.274297 I | mvcc: store.index: compact 31634928
Oct 07 12:41:15 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:41:15.281138 I | mvcc: finished scheduled compaction at 31634928 (took 4.785042ms)
Oct 07 12:41:15 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:41:15.888720 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (397.280202ms) to execute
Oct 07 12:46:15 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:46:15.290451 I | mvcc: store.index: compact 31635574
Oct 07 12:46:15 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:46:15.296536 I | mvcc: finished scheduled compaction at 31635574 (took 4.369191ms)
Oct 07 12:50:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:50:04.784439 I | etcdserver: start to snapshot (applied: 34944365, lastsnap: 34934364)
Oct 07 12:50:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:50:04.844558 I | etcdserver: saved snapshot at index 34944365
Oct 07 12:50:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:50:04.845287 I | etcdserver: compacted raft log at 34939365
Oct 07 12:50:18 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:50:18.380493 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000b-0000000002147218.snap successfully
Oct 07 12:50:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:50:49.982239 W | etcdserver: request "header:<ID:14919138748424191586 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15cb5e5d4b395931\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15cb5e5d4b395931\" value_size:376 lease:5695766711569415461 >> failure:<>>" with result "size:20" took too long (119.654573ms) to execute
Oct 07 12:50:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-07 12:50:49.983579 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:535" took too long (118.825749ms) to execute
