-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 02:02:27 UTC. --
Nov 05 01:42:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:42:46.092223 I | mvcc: store.index: compact 36205706
Nov 05 01:42:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:42:46.093787 W | etcdserver: request "header:<ID:14919139277660516910 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:36205706 > " with result "size:7" took too long (116.699406ms) to execute
Nov 05 01:42:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:42:46.100545 I | mvcc: finished scheduled compaction at 36205706 (took 6.817654ms)
Nov 05 01:42:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:42:46.273118 W | etcdserver: request "header:<ID:14919139277660516911 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:36206374 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (117.195986ms) to execute
Nov 05 01:45:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:45:31.911367 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (109.501401ms) to execute
Nov 05 01:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:46:18.773227 N | compactor: Starting auto-compaction at revision 36135011
Nov 05 01:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:46:18.773615 N | compactor: Finished auto-compaction at revision 36135011
Nov 05 01:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:47:46.106811 I | mvcc: store.index: compact 36206393
Nov 05 01:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:47:46.114527 I | mvcc: finished scheduled compaction at 36206393 (took 6.270309ms)
Nov 05 01:50:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:50:32.331484 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (145.892499ms) to execute
Nov 05 01:51:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:51:32.365145 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/default/\" range_end:\"/registry/resourcequotas/default0\" " with result "range_response_count:0 size:7" took too long (108.61988ms) to execute
