-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 20:09:26 UTC. --
Nov 06 19:48:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:48:08.103748 I | mvcc: store.index: compact 36620662
Nov 06 19:48:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:48:08.111122 I | mvcc: finished scheduled compaction at 36620662 (took 5.861108ms)
Nov 06 19:48:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:48:08.344952 W | etcdserver: request "header:<ID:14919139277662130365 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:36621373 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (124.201543ms) to execute
Nov 06 19:52:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:52:14.466128 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (688.366202ms) to execute
Nov 06 19:52:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:52:14.466729 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (112.493843ms) to execute
Nov 06 19:52:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:52:14.467229 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (368.776426ms) to execute
Nov 06 19:52:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:52:14.469736 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (238.374808ms) to execute
Nov 06 19:53:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:53:08.118693 I | mvcc: store.index: compact 36621390
Nov 06 19:53:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:53:08.125173 I | mvcc: finished scheduled compaction at 36621390 (took 5.14984ms)
Nov 06 19:58:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:58:08.137950 I | mvcc: store.index: compact 36622082
Nov 06 19:58:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 19:58:08.146354 I | mvcc: finished scheduled compaction at 36622082 (took 6.71133ms)
Nov 06 20:03:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:03:08.155228 I | mvcc: store.index: compact 36622780
Nov 06 20:03:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:03:08.165367 I | mvcc: finished scheduled compaction at 36622780 (took 7.307602ms)
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.303656 W | wal: sync duration of 1.199628188s, expected less than 1s
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.305529 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (1.195300475s) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.434725 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (321.837545ms) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.434939 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (630.72814ms) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.434973 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (215.447321ms) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.435210 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (157.74728ms) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.435451 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (700.839651ms) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.435595 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (1.324779224s) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.435735 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (121.720079ms) to execute
Nov 06 20:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:06:47.436007 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (811.106876ms) to execute
