-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 09:37:50 UTC. --
Nov 09 09:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:19:16.139975 I | mvcc: store.index: compact 37237155
Nov 09 09:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:19:16.146028 I | mvcc: finished scheduled compaction at 37237155 (took 4.767201ms)
Nov 09 09:22:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:22:29.449109 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mlhz9\" " with result "range_response_count:1 size:1121" took too long (127.711571ms) to execute
Nov 09 09:22:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:22:29.450658 W | etcdserver: request "header:<ID:14919139277664575191 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37239205 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (119.377321ms) to execute
Nov 09 09:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:17.238628 I | mvcc: store.index: compact 37238726
Nov 09 09:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:17.240997 W | etcdserver: request "header:<ID:14919139277664576167 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:37238726 > " with result "size:7" took too long (1.090192708s) to execute
Nov 09 09:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:17.241928 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (956.614519ms) to execute
Nov 09 09:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:17.253169 I | mvcc: finished scheduled compaction at 37238726 (took 12.215151ms)
Nov 09 09:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:17.257051 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (566.927198ms) to execute
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.677445 W | wal: sync duration of 1.320746827s, expected less than 1s
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.683618 W | etcdserver: request "header:<ID:14919139277664576177 > lease_revoke:<id:4f0b6e20c7c66220>" with result "size:29" took too long (1.326834984s) to execute
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.683925 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.179938795s) to execute
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.684028 W | etcdserver: failed to revoke 4f0b6e20c7c66220 ("lease not found")
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.684204 W | etcdserver: failed to revoke 4f0b6e20c7c66220 ("lease not found")
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.686135 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.065143884s) to execute
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.686360 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (535.454897ms) to execute
Nov 09 09:24:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:24:18.686555 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (836.060708ms) to execute
Nov 09 09:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:26:14.686108 W | etcdserver: request "header:<ID:14919139277664577186 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-z5h9l.15d57459f692e13a\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-z5h9l.15d57459f692e13a\" value_size:392 lease:5695767240809801365 >> failure:<>>" with result "size:20" took too long (106.669132ms) to execute
Nov 09 09:29:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:29:17.252942 I | mvcc: store.index: compact 37239502
Nov 09 09:29:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:29:17.259213 I | mvcc: finished scheduled compaction at 37239502 (took 5.157973ms)
Nov 09 09:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:34:17.266267 I | mvcc: store.index: compact 37240351
Nov 09 09:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:34:17.277346 I | mvcc: finished scheduled compaction at 37240351 (took 9.413743ms)
Nov 09 09:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:34:17.465596 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (135.979964ms) to execute
Nov 09 09:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 09:34:17.466017 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (136.273345ms) to execute
