-- Logs begin at Fri 2019-11-01 06:45:16 UTC, end at Sun 2019-11-03 23:43:38 UTC. --
Nov 03 23:22:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:22:26.578430 I | mvcc: store.index: compact 35965891
Nov 03 23:22:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:22:26.584058 I | mvcc: finished scheduled compaction at 35965891 (took 3.547831ms)
Nov 03 23:23:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:23:28.864956 W | etcdserver: request "header:<ID:14919139277659600550 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:35966596 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (125.34684ms) to execute
Nov 03 23:26:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:26:29.172078 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3cab894e172e3\" " with result "range_response_count:1 size:485" took too long (151.478694ms) to execute
Nov 03 23:26:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:26:29.172242 W | etcdserver: request "header:<ID:14919139277659602124 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-lnt78.15d3cab895dcf039\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-lnt78.15d3cab895dcf039\" value_size:392 lease:5695767240804826286 >> failure:<>>" with result "size:20" took too long (128.665864ms) to execute
Nov 03 23:26:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:26:29.191375 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hbmqq\" " with result "range_response_count:1 size:1121" took too long (154.219061ms) to execute
Nov 03 23:26:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:26:29.192838 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lnt78\" " with result "range_response_count:1 size:1121" took too long (153.346576ms) to execute
Nov 03 23:26:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:26:29.413550 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5cghl\" " with result "range_response_count:1 size:1121" took too long (180.119629ms) to execute
Nov 03 23:26:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:26:29.413614 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ngp9b\" " with result "range_response_count:1 size:1121" took too long (180.173613ms) to execute
Nov 03 23:26:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:26:29.413777 W | etcdserver: request "header:<ID:14919139277659602147 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-klkcb\" mod_revision:35967066 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-klkcb\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-klkcb\" > >>" with result "size:20" took too long (140.565652ms) to execute
Nov 03 23:27:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:27:02.662431 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (189.377924ms) to execute
Nov 03 23:27:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:27:26.630278 I | mvcc: store.index: compact 35966480
Nov 03 23:27:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:27:26.647392 I | mvcc: finished scheduled compaction at 35966480 (took 15.947803ms)
Nov 03 23:29:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:29:45.160653 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (122.488259ms) to execute
Nov 03 23:30:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:30:25.886803 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (215.287972ms) to execute
Nov 03 23:30:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:30:29.389551 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (106.232295ms) to execute
Nov 03 23:30:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 23:30:36.330304 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (335.245078ms) to execute
