-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 17:02:48 UTC. --
Dec 16 16:43:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:43:40.106081 W | etcdserver: request "header:<ID:14919139277704777887 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-ndx4q.15e0e7b1b289af90\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-ndx4q.15e0e7b1b289af90\" value_size:392 lease:5695767240850001953 >> failure:<>>" with result "size:20" took too long (118.70613ms) to execute
Dec 16 16:43:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:43:40.106743 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (133.200264ms) to execute
Dec 16 16:43:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:43:40.106903 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (130.667839ms) to execute
Dec 16 16:43:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:43:40.107530 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (131.280737ms) to execute
Dec 16 16:43:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:43:40.107986 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (102.033302ms) to execute
Dec 16 16:44:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:44:15.665369 I | mvcc: store.index: compact 44352983
Dec 16 16:44:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:44:15.675282 I | mvcc: finished scheduled compaction at 44352983 (took 7.316728ms)
Dec 16 16:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:44:16.099323 W | etcdserver: request "header:<ID:14919139277704778239 > lease_revoke:<id:4f0b6e20ca2bd17b>" with result "size:29" took too long (414.707182ms) to execute
Dec 16 16:49:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:49:15.763290 I | mvcc: store.index: compact 44354301
Dec 16 16:49:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:49:15.775759 I | mvcc: finished scheduled compaction at 44354301 (took 10.199628ms)
Dec 16 16:52:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:52:55.869541 W | etcdserver: request "header:<ID:14919139277704783343 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:44355897 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:4548 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (231.912932ms) to execute
Dec 16 16:52:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:52:55.870126 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (235.590924ms) to execute
Dec 16 16:52:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:52:55.870217 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (234.873352ms) to execute
Dec 16 16:52:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:52:55.870263 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (233.156276ms) to execute
Dec 16 16:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:54:15.781432 I | mvcc: store.index: compact 44355294
Dec 16 16:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:54:15.789022 I | mvcc: finished scheduled compaction at 44355294 (took 6.485738ms)
Dec 16 16:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:54:22.447072 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (128.294853ms) to execute
Dec 16 16:59:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:59:15.795582 I | mvcc: store.index: compact 44356155
Dec 16 16:59:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:59:15.804404 I | mvcc: finished scheduled compaction at 44356155 (took 7.789492ms)
