-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 01:38:13 UTC. --
Nov 05 01:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:18.596723 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (383.904867ms) to execute
Nov 05 01:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:18.596845 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (294.638191ms) to execute
Nov 05 01:16:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:26.101215 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (337.072116ms) to execute
Nov 05 01:16:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:32.157963 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (391.353272ms) to execute
Nov 05 01:16:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:32.158349 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (118.887051ms) to execute
Nov 05 01:16:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:51.822935 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15d41f4f92772699\" " with result "range_response_count:1 size:498" took too long (323.217915ms) to execute
Nov 05 01:16:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:54.321761 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (196.852842ms) to execute
Nov 05 01:16:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:56.227556 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (379.619434ms) to execute
Nov 05 01:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:07.988298 W | wal: sync duration of 1.741233285s, expected less than 1s
Nov 05 01:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:07.988625 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.635248282s) to execute
Nov 05 01:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:07.990353 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.625623349s) to execute
Nov 05 01:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:07.990633 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.161812168s) to execute
Nov 05 01:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:07.990842 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.491274859s) to execute
Nov 05 01:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:07.991022 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.597375173s) to execute
Nov 05 01:17:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:17.123366 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (270.132571ms) to execute
Nov 05 01:17:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:17.131947 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (267.108384ms) to execute
Nov 05 01:17:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:23.032084 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (319.207025ms) to execute
Nov 05 01:17:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:23.032327 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (318.262126ms) to execute
Nov 05 01:17:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:23.032445 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (316.415313ms) to execute
