-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 14:35:25 UTC. --
Nov 09 14:14:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:14:19.760308 I | mvcc: store.index: compact 37284454
Nov 09 14:14:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:14:19.769304 I | mvcc: finished scheduled compaction at 37284454 (took 7.675546ms)
Nov 09 14:16:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:16:22.362205 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (222.976741ms) to execute
Nov 09 14:17:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:01.632856 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.404982182s) to execute
Nov 09 14:17:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:01.633355 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (537.714215ms) to execute
Nov 09 14:17:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:01.633752 W | etcdserver: request "header:<ID:14919139277664771910 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37285506 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (386.687798ms) to execute
Nov 09 14:17:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:31.937423 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (413.321269ms) to execute
Nov 09 14:17:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:31.940217 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (144.873776ms) to execute
Nov 09 14:17:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:31.940598 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (143.44941ms) to execute
Nov 09 14:17:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:33.543613 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (440.901596ms) to execute
Nov 09 14:17:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:33.543793 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (161.747367ms) to execute
Nov 09 14:17:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:37.328128 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (169.484846ms) to execute
Nov 09 14:17:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:42.101772 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (103.712626ms) to execute
Nov 09 14:17:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:42.101887 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (114.736821ms) to execute
Nov 09 14:17:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:53.835563 W | wal: sync duration of 1.277594592s, expected less than 1s
Nov 09 14:17:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:17:53.840142 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fjfc6\" " with result "range_response_count:1 size:1735" took too long (1.272426301s) to execute
