-- Logs begin at Fri 2019-11-08 22:50:13 UTC, end at Mon 2019-11-11 02:32:36 UTC. --
Nov 11 02:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:15:22.811090 I | mvcc: store.index: compact 37644550
Nov 11 02:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:15:22.821298 I | mvcc: finished scheduled compaction at 37644550 (took 7.973247ms)
Nov 11 02:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:16:18.479872 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qjlcz\" " with result "range_response_count:1 size:1121" took too long (104.010974ms) to execute
Nov 11 02:16:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:16:43.349485 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (430.863167ms) to execute
Nov 11 02:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:17:40.423772 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (241.252656ms) to execute
Nov 11 02:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:17:40.423868 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (205.732338ms) to execute
Nov 11 02:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:17:40.423972 W | etcdserver: request "header:<ID:14919139277666191155 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37645591 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (179.716278ms) to execute
Nov 11 02:17:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:17:57.643211 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (174.328647ms) to execute
Nov 11 02:17:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:17:57.643319 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (174.339161ms) to execute
Nov 11 02:19:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:06.825636 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (500.058332ms) to execute
Nov 11 02:19:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:06.844406 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (249.611934ms) to execute
Nov 11 02:19:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:11.306810 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (443.592883ms) to execute
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.419420 W | wal: sync duration of 1.08770028s, expected less than 1s
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.559355 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (891.746494ms) to execute
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.559539 W | etcdserver: request "header:<ID:14919139277666192014 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:37645844 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4198 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (139.708801ms) to execute
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.561717 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (120.359156ms) to execute
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.561941 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (187.360016ms) to execute
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.562150 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (269.813694ms) to execute
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.562334 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (457.812739ms) to execute
Nov 11 02:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:19:16.562521 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (729.781554ms) to execute
Nov 11 02:20:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:22.822909 I | mvcc: store.index: compact 37645230
Nov 11 02:20:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:22.827564 I | mvcc: finished scheduled compaction at 37645230 (took 3.759423ms)
Nov 11 02:20:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:27.419121 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (512.170917ms) to execute
Nov 11 02:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:58.769555 W | wal: sync duration of 1.280413741s, expected less than 1s
Nov 11 02:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:58.771904 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (569.820879ms) to execute
Nov 11 02:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:58.772274 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (932.106466ms) to execute
Nov 11 02:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:58.772440 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (429.021752ms) to execute
Nov 11 02:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:20:58.772720 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.218377476s) to execute
Nov 11 02:21:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:21:21.448463 W | etcdserver: request "header:<ID:14919139277666193105 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37646159 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (453.975822ms) to execute
Nov 11 02:21:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:21:21.454561 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qjlcz\" " with result "range_response_count:1 size:1855" took too long (237.755926ms) to execute
Nov 11 02:21:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:21:31.113668 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (142.907906ms) to execute
Nov 11 02:21:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:21:31.113946 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (145.04768ms) to execute
Nov 11 02:21:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:21:31.114029 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (144.591239ms) to execute
Nov 11 02:21:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:21:31.114080 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (140.370123ms) to execute
Nov 11 02:21:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:21:31.114160 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (142.695021ms) to execute
Nov 11 02:22:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:22:17.270881 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (104.466474ms) to execute
Nov 11 02:23:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:23:05.357181 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (125.297055ms) to execute
Nov 11 02:23:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:23:05.688960 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (158.913279ms) to execute
Nov 11 02:24:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:24:00.295807 W | wal: sync duration of 1.091481045s, expected less than 1s
Nov 11 02:24:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:24:00.299072 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (481.731896ms) to execute
Nov 11 02:24:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:24:00.299478 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (250.62097ms) to execute
Nov 11 02:25:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:25:22.913794 I | mvcc: store.index: compact 37646041
Nov 11 02:25:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:25:22.924939 I | mvcc: finished scheduled compaction at 37646041 (took 9.902114ms)
Nov 11 02:25:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:25:53.221985 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (261.497512ms) to execute
Nov 11 02:27:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 02:27:13.399712 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (124.87206ms) to execute
