-- Logs begin at Thu 2019-12-19 00:14:23 UTC, end at Fri 2019-12-20 11:48:47 UTC. --
Dec 20 11:31:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:31:09.976249 I | mvcc: store.index: compact 45276094
Dec 20 11:31:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:31:09.985964 I | mvcc: finished scheduled compaction at 45276094 (took 7.677133ms)
Dec 20 11:31:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:31:10.383944 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (292.288775ms) to execute
Dec 20 11:31:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:31:11.431594 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (113.830916ms) to execute
Dec 20 11:31:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:31:11.431851 W | etcdserver: request "header:<ID:14919139277708420224 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-7pmch\" mod_revision:45276810 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-7pmch\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-7pmch\" > >>" with result "size:20" took too long (107.777001ms) to execute
Dec 20 11:33:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:33:08.826660 W | wal: sync duration of 1.4671121s, expected less than 1s
Dec 20 11:33:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:33:08.829294 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (619.928039ms) to execute
Dec 20 11:33:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:33:08.829526 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (814.407821ms) to execute
Dec 20 11:36:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:36:10.009198 I | mvcc: store.index: compact 45276799
Dec 20 11:36:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:36:10.016353 I | mvcc: finished scheduled compaction at 45276799 (took 5.560562ms)
Dec 20 11:36:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:36:12.939111 W | etcdserver: request "header:<ID:14919139277708423006 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e2113ce8806706\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e2113ce8806706\" value_size:354 lease:5695767240853647178 >> failure:<>>" with result "size:20" took too long (102.17419ms) to execute
Dec 20 11:36:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:36:12.959010 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (121.84522ms) to execute
Dec 20 11:36:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:36:12.962505 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (125.3369ms) to execute
Dec 20 11:36:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:36:12.962581 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2r5r7\" " with result "range_response_count:1 size:1121" took too long (112.457243ms) to execute
Dec 20 11:38:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:38:20.669321 W | wal: sync duration of 1.150986674s, expected less than 1s
Dec 20 11:38:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:38:20.672936 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (933.32023ms) to execute
Dec 20 11:38:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:38:20.677874 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (328.068367ms) to execute
Dec 20 11:38:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:38:20.678704 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (215.567544ms) to execute
Dec 20 11:38:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:38:43.835371 W | etcdserver: request "header:<ID:14919139277708424492 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-w2mzs.15e21160090e976a\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-w2mzs.15e21160090e976a\" value_size:392 lease:5695767240853648543 >> failure:<>>" with result "size:20" took too long (121.637148ms) to execute
Dec 20 11:38:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:38:43.835787 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w2mzs\" " with result "range_response_count:1 size:1121" took too long (114.177797ms) to execute
Dec 20 11:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:41:10.041588 I | mvcc: store.index: compact 45277620
Dec 20 11:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:41:10.047733 I | mvcc: finished scheduled compaction at 45277620 (took 5.082573ms)
Dec 20 11:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:46:10.054203 I | mvcc: store.index: compact 45278598
Dec 20 11:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:46:10.061186 I | mvcc: finished scheduled compaction at 45278598 (took 5.440359ms)
Dec 20 11:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:46:31.790551 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2rtlj\" " with result "range_response_count:1 size:1730" took too long (963.318043ms) to execute
Dec 20 11:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:46:31.790626 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (596.364088ms) to execute
Dec 20 11:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:46:31.790854 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (564.938508ms) to execute
Dec 20 11:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 11:46:31.790951 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (886.277454ms) to execute
