-- Logs begin at Wed 2020-01-29 20:49:21 UTC, end at Fri 2020-01-31 17:26:48 UTC. --
Jan 31 17:03:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:03:51.235904 I | mvcc: store.index: compact 52995952
Jan 31 17:03:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:03:51.242976 I | mvcc: finished scheduled compaction at 52995952 (took 5.813048ms)
Jan 31 17:04:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:04:21.299571 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (147.198037ms) to execute
Jan 31 17:04:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:04:21.299723 W | etcdserver: request "header:<ID:14919139277750523808 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-tf2nl\" mod_revision:52996863 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-tf2nl\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-tf2nl\" > >>" with result "size:20" took too long (129.181162ms) to execute
Jan 31 17:04:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:04:21.299917 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (146.367687ms) to execute
Jan 31 17:04:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:04:21.300142 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (146.372103ms) to execute
Jan 31 17:07:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:07:07.071249 W | etcdserver: request "header:<ID:14919139277750525157 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:52997189 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (155.478987ms) to execute
Jan 31 17:08:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:08:06.958952 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (100.807101ms) to execute
Jan 31 17:08:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:08:51.249205 I | mvcc: store.index: compact 52996802
Jan 31 17:08:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:08:51.256128 I | mvcc: finished scheduled compaction at 52996802 (took 5.770286ms)
Jan 31 17:09:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:09:07.062287 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2qnxf\" " with result "range_response_count:1 size:1121" took too long (102.198121ms) to execute
