-- Logs begin at Tue 2019-12-17 03:13:11 UTC, end at Wed 2019-12-18 19:28:20 UTC. --
Dec 18 19:10:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:10:22.981219 I | mvcc: store.index: compact 44865750
Dec 18 19:10:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:10:22.991268 I | mvcc: finished scheduled compaction at 44865750 (took 6.259004ms)
Dec 18 19:10:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:10:23.488921 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (462.652322ms) to execute
Dec 18 19:10:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:10:23.489371 W | etcdserver: request "header:<ID:14919139277706802546 > lease_revoke:<id:4f0b6e20ca4ab4f6>" with result "size:29" took too long (424.676982ms) to execute
Dec 18 19:10:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:10:23.489474 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (368.449025ms) to execute
Dec 18 19:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:12:46.936990 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jxkdv\" " with result "range_response_count:1 size:1121" took too long (136.509802ms) to execute
Dec 18 19:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:12:46.938008 W | etcdserver: request "header:<ID:14919139277706803791 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jxkdv.15e18cfdec91ca41\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jxkdv.15e18cfdec91ca41\" value_size:392 lease:5695767240852027954 >> failure:<>>" with result "size:20" took too long (117.421572ms) to execute
Dec 18 19:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:12:46.938367 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e18cefe9292624\" " with result "range_response_count:1 size:485" took too long (131.922648ms) to execute
Dec 18 19:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:12:46.938830 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kndd2\" " with result "range_response_count:1 size:1121" took too long (120.93999ms) to execute
Dec 18 19:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:12:46.938922 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lzbc9\" " with result "range_response_count:1 size:1121" took too long (132.34933ms) to execute
Dec 18 19:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:12:46.939135 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (132.151536ms) to execute
Dec 18 19:12:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:12:58.601392 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (708.346299ms) to execute
