-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 20:35:02 UTC. --
Nov 06 20:13:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:13:08.189150 I | mvcc: store.index: compact 36624152
Nov 06 20:13:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:13:08.195827 I | mvcc: finished scheduled compaction at 36624152 (took 5.220886ms)
Nov 06 20:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:14:56.026314 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (207.71591ms) to execute
Nov 06 20:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:14:56.026697 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-99s6n\" " with result "range_response_count:1 size:2738" took too long (201.074788ms) to execute
Nov 06 20:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:14:56.063538 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (141.451655ms) to execute
Nov 06 20:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:14:56.063589 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (149.646175ms) to execute
Nov 06 20:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:14:56.243753 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-wmrzl\" " with result "range_response_count:1 size:2738" took too long (105.887695ms) to execute
Nov 06 20:14:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:14:56.244324 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (117.216891ms) to execute
Nov 06 20:15:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:15:10.898292 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (174.147782ms) to execute
Nov 06 20:15:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:15:10.898669 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (185.45209ms) to execute
Nov 06 20:15:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:15:10.898704 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-lkpjt\" " with result "range_response_count:1 size:2738" took too long (150.394921ms) to execute
Nov 06 20:15:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:15:10.898906 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (191.000506ms) to execute
Nov 06 20:15:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:15:10.899018 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (174.692971ms) to execute
Nov 06 20:17:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:17:02.845943 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (243.939421ms) to execute
Nov 06 20:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:17:25.896016 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (106.800978ms) to execute
Nov 06 20:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:17:25.896170 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (107.911642ms) to execute
Nov 06 20:18:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:18:08.200963 I | mvcc: store.index: compact 36625861
Nov 06 20:18:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:18:08.209144 I | mvcc: finished scheduled compaction at 36625861 (took 6.994296ms)
Nov 06 20:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:18:09.588980 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.288725745s) to execute
Nov 06 20:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:18:09.589061 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (271.796425ms) to execute
Nov 06 20:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:18:09.589191 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5md4l\" " with result "range_response_count:1 size:4261" took too long (932.975057ms) to execute
Nov 06 20:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:18:09.589228 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.272666261s) to execute
Nov 06 20:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:18:44.499926 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (233.382812ms) to execute
Nov 06 20:22:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:22:15.635361 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v5dsr\" " with result "range_response_count:1 size:2946" took too long (108.037208ms) to execute
Nov 06 20:22:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:22:15.635543 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (122.175735ms) to execute
Nov 06 20:23:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:23:08.214878 I | mvcc: store.index: compact 36626825
Nov 06 20:23:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:23:08.222511 I | mvcc: finished scheduled compaction at 36626825 (took 6.21412ms)
