-- Logs begin at Sat 2019-12-14 22:25:30 UTC, end at Mon 2019-12-16 14:33:33 UTC. --
Dec 16 14:13:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:09.531300 N | compactor: Starting auto-compaction at revision 44295841
Dec 16 14:13:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:09.531620 N | compactor: Finished auto-compaction at revision 44295841
Dec 16 14:13:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:32.047951 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7cwhn\" " with result "range_response_count:1 size:2946" took too long (148.026704ms) to execute
Dec 16 14:13:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:32.051023 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dmmnx\" " with result "range_response_count:1 size:2946" took too long (105.414112ms) to execute
Dec 16 14:13:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:32.051173 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (134.971521ms) to execute
Dec 16 14:13:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:42.724899 W | etcdserver: request "header:<ID:14919139277704675664 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:43701137 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (161.374142ms) to execute
Dec 16 14:13:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:42.725533 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (164.525765ms) to execute
Dec 16 14:13:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:42.725566 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (131.516259ms) to execute
Dec 16 14:13:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:42.975054 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (179.67742ms) to execute
Dec 16 14:13:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:42.975320 W | etcdserver: request "header:<ID:14919139277704675688 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:44330131 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6117 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (149.193936ms) to execute
Dec 16 14:13:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 14:13:42.989465 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-bvpq5\" " with result "range_response_count:1 size:2738" took too long (150.799535ms) to execute
