-- Logs begin at Sat 2019-10-26 21:27:07 UTC, end at Fri 2019-11-01 03:21:30 UTC. --
Nov 01 03:01:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:01:13.032873 I | etcdserver: start to snapshot (applied: 38994832, lastsnap: 38984831)
Nov 01 03:01:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:01:13.112950 I | etcdserver: saved snapshot at index 38994832
Nov 01 03:01:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:01:13.114415 I | etcdserver: compacted raft log at 38989832
Nov 01 03:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:01:24.848744 I | mvcc: store.index: compact 35311756
Nov 01 03:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:01:24.862684 I | mvcc: finished scheduled compaction at 35311756 (took 10.760407ms)
Nov 01 03:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:01:33.078951 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000252403b.snap successfully
Nov 01 03:02:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:02:03.509903 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (156.214857ms) to execute
Nov 01 03:02:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:02:03.510021 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (129.108918ms) to execute
Nov 01 03:03:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:24.234394 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (223.089109ms) to execute
Nov 01 03:03:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:25.260124 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (360.173118ms) to execute
Nov 01 03:03:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:25.260377 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (236.482541ms) to execute
Nov 01 03:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:28.290490 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (355.484395ms) to execute
Nov 01 03:03:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:38.523182 W | wal: sync duration of 1.152905504s, expected less than 1s
Nov 01 03:03:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:38.525805 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (803.7236ms) to execute
Nov 01 03:03:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:38.530991 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (698.028915ms) to execute
Nov 01 03:03:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:03:38.531025 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (187.50007ms) to execute
Nov 01 03:04:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:04:06.804694 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (217.732287ms) to execute
