-- Logs begin at Fri 2019-11-08 11:29:00 UTC, end at Sun 2019-11-10 21:34:58 UTC. --
Nov 10 21:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:46.540685 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000277f1b9.snap successfully
Nov 10 21:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:48.265186 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (163.820023ms) to execute
Nov 10 21:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:48.940111 W | etcdserver: request "header:<ID:14919139277665997378 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:37596680 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (546.669414ms) to execute
Nov 10 21:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:48.944878 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (116.65665ms) to execute
Nov 10 21:12:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:59.285945 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (273.311574ms) to execute
Nov 10 21:12:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:59.286041 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (298.692523ms) to execute
Nov 10 21:12:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:59.286061 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (268.552143ms) to execute
Nov 10 21:13:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:05.461136 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (112.942855ms) to execute
Nov 10 21:13:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:06.785154 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway.15d5e968e28a31c6\" " with result "range_response_count:1 size:517" took too long (121.862387ms) to execute
Nov 10 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:13.707199 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (215.994826ms) to execute
Nov 10 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:13.712510 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (181.557763ms) to execute
Nov 10 21:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:19.420843 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (138.141709ms) to execute
Nov 10 21:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:19.421041 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-f8fb9\" " with result "range_response_count:1 size:2314" took too long (100.705684ms) to execute
Nov 10 21:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:19.605304 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (176.054255ms) to execute
Nov 10 21:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:19.605665 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (164.876714ms) to execute
Nov 10 21:13:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:22.289037 W | etcdserver: request "header:<ID:14919139277665997741 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-policy\" mod_revision:37596616 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-policy\" value_size:1557 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-policy\" > >>" with result "size:20" took too long (481.759961ms) to execute
Nov 10 21:13:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:22.294020 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (217.460276ms) to execute
Nov 10 21:13:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:36.021537 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (143.209446ms) to execute
Nov 10 21:13:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:36.021810 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1424" took too long (280.631112ms) to execute
Nov 10 21:13:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:49.101956 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (458.367648ms) to execute
