-- Logs begin at Sun 2019-12-15 19:38:11 UTC, end at Tue 2019-12-17 12:27:20 UTC. --
Dec 17 12:05:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:05:13.841695 I | etcdserver: start to snapshot (applied: 49116048, lastsnap: 49106047)
Dec 17 12:05:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:05:13.918263 I | etcdserver: saved snapshot at index 49116048
Dec 17 12:05:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:05:13.918986 I | etcdserver: compacted raft log at 49111048
Dec 17 12:05:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:05:41.617945 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002ecb03a.snap successfully
Dec 17 12:09:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:09:27.476823 I | mvcc: store.index: compact 44547876
Dec 17 12:09:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:09:27.483868 I | mvcc: finished scheduled compaction at 44547876 (took 5.07848ms)
Dec 17 12:09:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:09:30.739574 W | etcdserver: request "header:<ID:14919139277705556015 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-4gp8f.15e1275057fff835\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-4gp8f.15e1275057fff835\" value_size:392 lease:5695767240850779650 >> failure:<>>" with result "size:20" took too long (133.296611ms) to execute
Dec 17 12:09:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:09:30.740468 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4gp8f\" " with result "range_response_count:1 size:1121" took too long (142.169579ms) to execute
Dec 17 12:11:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:11:45.992776 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1275058239db4\" " with result "range_response_count:1 size:485" took too long (167.985726ms) to execute
Dec 17 12:11:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:11:45.992943 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w2gnt\" " with result "range_response_count:1 size:1121" took too long (157.297893ms) to execute
Dec 17 12:11:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:11:46.023907 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nn75f\" " with result "range_response_count:1 size:1118" took too long (164.038798ms) to execute
Dec 17 12:11:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:11:46.024101 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6vhrp\" " with result "range_response_count:1 size:1121" took too long (164.07556ms) to execute
Dec 17 12:11:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:11:46.223976 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (153.638835ms) to execute
Dec 17 12:11:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:11:46.224122 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xtmwv\" " with result "range_response_count:1 size:1118" took too long (153.631178ms) to execute
Dec 17 12:11:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:11:46.446387 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1275058239db4\" " with result "range_response_count:1 size:485" took too long (124.467927ms) to execute
Dec 17 12:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:12:46.068894 W | etcdserver: request "header:<ID:14919139277705557737 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-j9w2m\" mod_revision:44549162 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-j9w2m\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-j9w2m\" > >>" with result "size:20" took too long (129.348747ms) to execute
Dec 17 12:13:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:13:11.185321 N | compactor: Starting auto-compaction at revision 44466249
Dec 17 12:13:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:13:11.185710 N | compactor: Finished auto-compaction at revision 44466249
Dec 17 12:13:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:13:44.071650 W | wal: sync duration of 1.723012113s, expected less than 1s
Dec 17 12:13:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:13:44.079682 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (1.532283832s) to execute
Dec 17 12:13:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:13:44.083311 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (555.711771ms) to execute
Dec 17 12:13:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:13:44.083346 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (182.549993ms) to execute
Dec 17 12:13:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:13:44.083513 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (377.149777ms) to execute
Dec 17 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:14:27.556278 I | mvcc: store.index: compact 44548618
Dec 17 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 12:14:27.562449 I | mvcc: finished scheduled compaction at 44548618 (took 4.560246ms)
