-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 00:41:26 UTC. --
Nov 03 00:21:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:21:54.801569 I | mvcc: store.index: compact 35769365
Nov 03 00:21:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:21:54.812837 I | mvcc: finished scheduled compaction at 35769365 (took 8.616935ms)
Nov 03 00:23:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:23:23.140720 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.38495616s) to execute
Nov 03 00:23:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:23:23.141185 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.463757112s) to execute
Nov 03 00:23:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:23:23.141443 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (335.542639ms) to execute
Nov 03 00:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:26:54.819339 I | mvcc: store.index: compact 35769988
Nov 03 00:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:26:54.826244 I | mvcc: finished scheduled compaction at 35769988 (took 5.323524ms)
Nov 03 00:27:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:27:25.962339 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (126.64063ms) to execute
Nov 03 00:28:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:28:36.632358 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (320.094869ms) to execute
Nov 03 00:28:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:28:36.632701 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (214.605109ms) to execute
Nov 03 00:30:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:30:22.476714 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.101661532s) to execute
Nov 03 00:30:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:30:22.477294 W | etcdserver: request "header:<ID:14919139277658718365 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35771065 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (730.385593ms) to execute
Nov 03 00:30:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:30:22.483776 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (583.320118ms) to execute
Nov 03 00:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:31:23.686345 W | wal: sync duration of 1.019554208s, expected less than 1s
Nov 03 00:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:31:23.689278 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (308.869695ms) to execute
Nov 03 00:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:31:23.689336 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (759.386472ms) to execute
Nov 03 00:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:31:23.689597 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (245.587234ms) to execute
Nov 03 00:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:31:23.689735 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (923.350079ms) to execute
Nov 03 00:31:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:31:54.833137 I | mvcc: store.index: compact 35770653
Nov 03 00:31:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:31:54.839227 I | mvcc: finished scheduled compaction at 35770653 (took 5.149965ms)
Nov 03 00:36:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:36:54.849776 I | mvcc: store.index: compact 35771262
Nov 03 00:36:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:36:54.859973 I | mvcc: finished scheduled compaction at 35771262 (took 8.347416ms)
