-- Logs begin at Sun 2019-11-10 04:23:24 UTC, end at Tue 2019-11-12 08:25:12 UTC. --
Nov 12 08:04:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:04:12.428435 W | etcdserver: request "header:<ID:14919139277667382996 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:37948790 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (105.407847ms) to execute
Nov 12 08:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:04:20.130288 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (164.860521ms) to execute
Nov 12 08:04:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:04:37.105243 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lbhwh\" " with result "range_response_count:1 size:1743" took too long (125.119564ms) to execute
Nov 12 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:05:22.441811 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zrxpp\" " with result "range_response_count:1 size:1118" took too long (160.250768ms) to execute
Nov 12 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:05:22.442442 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p9wd8\" " with result "range_response_count:1 size:1121" took too long (161.662315ms) to execute
Nov 12 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:05:22.442959 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (157.398455ms) to execute
Nov 12 08:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:05:45.279873 I | mvcc: store.index: compact 37948332
Nov 12 08:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:05:45.286103 I | mvcc: finished scheduled compaction at 37948332 (took 5.160942ms)
Nov 12 08:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:22.580439 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6hjqc\" " with result "range_response_count:1 size:1121" took too long (161.794243ms) to execute
Nov 12 08:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:22.580533 W | etcdserver: request "header:<ID:14919139277667384183 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-nfph2.15d65bbbe7020ee6\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-nfph2.15d65bbbe7020ee6\" value_size:392 lease:5695767240812608348 >> failure:<>>" with result "size:20" took too long (135.320322ms) to execute
Nov 12 08:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:22.600977 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d65bade7175f40\" " with result "range_response_count:1 size:485" took too long (170.74152ms) to execute
Nov 12 08:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:22.831717 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s7lf8\" " with result "range_response_count:1 size:1501" took too long (149.291591ms) to execute
Nov 12 08:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:22.832281 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gkq4x\" " with result "range_response_count:1 size:1121" took too long (146.504044ms) to execute
Nov 12 08:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:22.832519 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (148.143777ms) to execute
Nov 12 08:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:22.833887 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-d9njn\" " with result "range_response_count:1 size:1118" took too long (166.755757ms) to execute
Nov 12 08:06:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:23.088941 W | etcdserver: request "header:<ID:14919139277667384235 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:37949154 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (144.125575ms) to execute
Nov 12 08:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:25.255263 W | etcdserver: request "header:<ID:14919139277667384313 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:37949283 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:2874 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (133.275897ms) to execute
Nov 12 08:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:58.889704 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (759.692022ms) to execute
Nov 12 08:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:58.893649 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (748.648453ms) to execute
Nov 12 08:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:58.894167 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (646.299169ms) to execute
Nov 12 08:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:06:58.894399 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (734.507805ms) to execute
Nov 12 08:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:07:22.574119 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kkt86\" " with result "range_response_count:1 size:1121" took too long (112.427131ms) to execute
Nov 12 08:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:07:22.574697 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (109.93828ms) to execute
Nov 12 08:10:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:10:45.296728 I | mvcc: store.index: compact 37949107
Nov 12 08:10:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:10:45.302706 I | mvcc: finished scheduled compaction at 37949107 (took 4.67947ms)
Nov 12 08:15:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:15:45.314654 I | mvcc: store.index: compact 37949797
Nov 12 08:15:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:15:45.323728 I | mvcc: finished scheduled compaction at 37949797 (took 7.633185ms)
Nov 12 08:15:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:15:45.534009 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (109.680832ms) to execute
Nov 12 08:15:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:15:45.534278 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (111.714823ms) to execute
Nov 12 08:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:20:45.333279 I | mvcc: store.index: compact 37950314
Nov 12 08:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 08:20:45.341054 I | mvcc: finished scheduled compaction at 37950314 (took 6.193155ms)
