-- Logs begin at Fri 2019-10-25 18:53:13 UTC, end at Thu 2019-10-31 17:23:45 UTC. --
Oct 31 17:06:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:06:16.162838 I | mvcc: store.index: compact 35217420
Oct 31 17:06:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:06:16.169749 I | mvcc: finished scheduled compaction at 35217420 (took 5.280725ms)
Oct 31 17:11:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:11:16.263348 I | mvcc: store.index: compact 35218049
Oct 31 17:11:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:11:16.267745 I | mvcc: finished scheduled compaction at 35218049 (took 3.490271ms)
Oct 31 17:11:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:11:40.484178 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (137.168815ms) to execute
Oct 31 17:11:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:11:40.516306 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9ftfn\" " with result "range_response_count:1 size:1121" took too long (150.614409ms) to execute
Oct 31 17:16:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:16:16.353827 I | mvcc: store.index: compact 35218711
Oct 31 17:16:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:16:16.365054 I | mvcc: finished scheduled compaction at 35218711 (took 9.626337ms)
Oct 31 17:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:16:38.998924 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (191.203434ms) to execute
Oct 31 17:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:19:26.392769 W | etcdserver: request "header:<ID:14919139277656572000 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d2caf34edb4efa\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d2caf34edb4efa\" value_size:354 lease:5695767240801796172 >> failure:<>>" with result "size:20" took too long (113.334068ms) to execute
Oct 31 17:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:19:26.393533 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (128.909502ms) to execute
Oct 31 17:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:19:26.393744 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (131.541925ms) to execute
Oct 31 17:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:19:26.393839 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (129.111082ms) to execute
Oct 31 17:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:19:26.393966 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7828c\" " with result "range_response_count:1 size:1121" took too long (123.857655ms) to execute
Oct 31 17:21:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:21:16.369201 I | mvcc: store.index: compact 35219493
Oct 31 17:21:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 17:21:16.375036 I | mvcc: finished scheduled compaction at 35219493 (took 4.719625ms)
