-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 09:14:01 UTC. --
Feb 01 08:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:51:43.202038 W | etcdserver: request "header:<ID:14919139277751131827 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-p9v7h\" mod_revision:53151149 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-p9v7h\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-p9v7h\" > >>" with result "size:20" took too long (105.450971ms) to execute
Feb 01 08:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:54:15.281801 I | mvcc: store.index: compact 53150764
Feb 01 08:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:54:15.286699 I | mvcc: finished scheduled compaction at 53150764 (took 4.032724ms)
Feb 01 08:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:57:14.028099 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (139.082207ms) to execute
Feb 01 08:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:57:14.032468 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (142.899674ms) to execute
Feb 01 08:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:57:14.032573 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (141.60026ms) to execute
Feb 01 08:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:57:14.032597 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ddxmm\" " with result "range_response_count:1 size:1121" took too long (129.521851ms) to execute
Feb 01 08:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:57:14.032712 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (130.852887ms) to execute
Feb 01 08:58:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:58:29.332657 I | etcdserver: start to snapshot (applied: 58577376, lastsnap: 58567375)
Feb 01 08:58:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:58:29.419218 I | etcdserver: saved snapshot at index 58577376
Feb 01 08:58:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 08:58:29.420646 I | etcdserver: compacted raft log at 58572376
