-- Logs begin at Wed 2019-12-18 10:00:07 UTC, end at Thu 2019-12-19 17:36:47 UTC. --
Dec 19 17:15:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:15:56.423407 I | mvcc: store.index: compact 45085940
Dec 19 17:15:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:15:56.430653 I | mvcc: finished scheduled compaction at 45085940 (took 5.918499ms)
Dec 19 17:15:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:15:56.697273 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (176.176836ms) to execute
Dec 19 17:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:17:44.813859 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (136.171042ms) to execute
Dec 19 17:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:17:47.042910 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (216.721718ms) to execute
Dec 19 17:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:17:47.043338 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (750.569181ms) to execute
Dec 19 17:19:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:19:19.423308 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s8qpr\" " with result "range_response_count:1 size:1121" took too long (105.126851ms) to execute
Dec 19 17:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:19:53.893707 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (122.551897ms) to execute
Dec 19 17:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:34.630467 W | etcdserver: request "header:<ID:14919139277707684087 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-rzr96.15e1d573020b6e91\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-rzr96.15e1d573020b6e91\" value_size:392 lease:5695767240852908033 >> failure:<>>" with result "size:20" took too long (121.442458ms) to execute
Dec 19 17:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:34.632922 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rzr96\" " with result "range_response_count:1 size:1121" took too long (130.197429ms) to execute
Dec 19 17:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:34.649968 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6fwcx\" " with result "range_response_count:1 size:1121" took too long (100.525593ms) to execute
Dec 19 17:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:34.852359 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (119.170127ms) to execute
Dec 19 17:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:34.852489 W | etcdserver: request "header:<ID:14919139277707684108 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45087462 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (116.22625ms) to execute
Dec 19 17:20:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:56.436574 I | mvcc: store.index: compact 45086682
Dec 19 17:20:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:56.442662 I | mvcc: finished scheduled compaction at 45086682 (took 5.035444ms)
Dec 19 17:20:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:20:56.694724 W | etcdserver: request "header:<ID:14919139277707684360 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45087552 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (181.987648ms) to execute
Dec 19 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:21:34.688156 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-srxxx\" " with result "range_response_count:1 size:1118" took too long (163.591021ms) to execute
Dec 19 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:21:34.708133 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7495x\" " with result "range_response_count:1 size:1121" took too long (157.071287ms) to execute
Dec 19 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:21:34.708368 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pqxjk\" " with result "range_response_count:1 size:1121" took too long (173.036539ms) to execute
Dec 19 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:21:34.917750 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (156.54367ms) to execute
Dec 19 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:21:34.918054 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1d580faa1f3ca\" " with result "range_response_count:1 size:485" took too long (155.928243ms) to execute
Dec 19 17:21:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:21:37.158354 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (127.911535ms) to execute
Dec 19 17:22:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:22:34.717314 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1d580faa1f3ca\" " with result "range_response_count:1 size:485" took too long (105.920822ms) to execute
Dec 19 17:25:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:25:56.482038 I | mvcc: store.index: compact 45087574
Dec 19 17:25:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:25:56.490393 I | mvcc: finished scheduled compaction at 45087574 (took 5.950928ms)
Dec 19 17:30:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:30:56.503394 I | mvcc: store.index: compact 45088337
Dec 19 17:30:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:30:56.509016 I | mvcc: finished scheduled compaction at 45088337 (took 4.347755ms)
Dec 19 17:31:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:31:34.948212 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (103.790805ms) to execute
Dec 19 17:33:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 17:33:07.663112 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (189.54208ms) to execute
