-- Logs begin at Thu 2019-12-19 23:09:25 UTC, end at Sat 2019-12-21 06:27:56 UTC. --
Dec 21 06:06:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:06:09.527797 I | etcdserver: start to snapshot (applied: 50116158, lastsnap: 50106157)
Dec 21 06:06:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:06:09.613287 I | etcdserver: saved snapshot at index 50116158
Dec 21 06:06:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:06:09.613557 I | etcdserver: compacted raft log at 50111158
Dec 21 06:06:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:06:17.101396 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002fbf2e7.snap successfully
Dec 21 06:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:06:25.454427 I | mvcc: store.index: compact 45474558
Dec 21 06:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:06:25.463942 I | mvcc: finished scheduled compaction at 45474558 (took 6.901372ms)
Dec 21 06:11:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:11:25.548278 I | mvcc: store.index: compact 45475259
Dec 21 06:11:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:11:25.556793 I | mvcc: finished scheduled compaction at 45475259 (took 6.10994ms)
Dec 21 06:13:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:13:29.270688 N | compactor: Starting auto-compaction at revision 45393204
Dec 21 06:13:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:13:29.271109 N | compactor: Finished auto-compaction at revision 45393204
Dec 21 06:15:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:15:34.282277 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pm9cv\" " with result "range_response_count:1 size:1121" took too long (135.676138ms) to execute
Dec 21 06:15:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:15:34.282465 W | etcdserver: request "header:<ID:14919139277709202593 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-2rw9w.15e24e521ea7b097\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-2rw9w.15e24e521ea7b097\" value_size:389 lease:5695767240854426242 >> failure:<>>" with result "size:20" took too long (125.628703ms) to execute
Dec 21 06:15:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:15:34.282871 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (136.432502ms) to execute
Dec 21 06:15:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:15:34.282890 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2rw9w\" " with result "range_response_count:1 size:1118" took too long (125.038127ms) to execute
Dec 21 06:15:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:15:34.282967 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7dt6d\" " with result "range_response_count:1 size:1121" took too long (132.762483ms) to execute
Dec 21 06:15:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:15:34.282989 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xhs2m\" " with result "range_response_count:1 size:1121" took too long (135.562429ms) to execute
Dec 21 06:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:25.586451 I | mvcc: store.index: compact 45476010
Dec 21 06:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:25.591680 I | mvcc: finished scheduled compaction at 45476010 (took 4.159187ms)
Dec 21 06:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:25.770470 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (136.830016ms) to execute
Dec 21 06:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:34.506130 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dfslg\" " with result "range_response_count:1 size:1121" took too long (146.935155ms) to execute
Dec 21 06:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:34.538340 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (178.517526ms) to execute
Dec 21 06:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:34.538799 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cfr6q\" " with result "range_response_count:1 size:1118" took too long (176.876542ms) to execute
Dec 21 06:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:34.539038 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e24e521ec085ea\" " with result "range_response_count:1 size:485" took too long (178.448703ms) to execute
Dec 21 06:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:34.539319 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (178.921312ms) to execute
Dec 21 06:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:16:34.720701 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e24e521ec085ea\" " with result "range_response_count:1 size:485" took too long (125.481803ms) to execute
Dec 21 06:17:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:17:34.578320 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (140.127568ms) to execute
Dec 21 06:17:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:17:34.578509 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e24e521ec085ea\" " with result "range_response_count:1 size:485" took too long (124.471327ms) to execute
Dec 21 06:17:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:17:34.578848 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7gdjf\" " with result "range_response_count:1 size:1121" took too long (145.99653ms) to execute
Dec 21 06:17:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:17:34.579331 W | etcdserver: request "header:<ID:14919139277709203888 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-8gqsj\" mod_revision:45477204 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-8gqsj\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-8gqsj\" > >>" with result "size:20" took too long (110.797116ms) to execute
Dec 21 06:21:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:21:25.599002 I | mvcc: store.index: compact 45476914
Dec 21 06:21:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:21:25.606245 I | mvcc: finished scheduled compaction at 45476914 (took 6.031422ms)
Dec 21 06:21:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:21:52.889426 W | wal: sync duration of 1.724411392s, expected less than 1s
Dec 21 06:21:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:21:52.894384 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (562.965163ms) to execute
