-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 13:37:35 UTC. --
Nov 03 13:16:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:22.193781 W | etcdserver: request "header:<ID:14919139277659211289 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35866355 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (560.039283ms) to execute
Nov 03 13:16:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:22.195008 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:1 size:1620" took too long (475.251649ms) to execute
Nov 03 13:16:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:22.195428 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (276.329654ms) to execute
Nov 03 13:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:39.950686 W | etcdserver: request "header:<ID:14919139277659211414 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:35866386 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (141.073982ms) to execute
Nov 03 13:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:39.950808 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/coredns\" " with result "range_response_count:1 size:1069" took too long (114.243232ms) to execute
Nov 03 13:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:49.348708 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (187.757694ms) to execute
Nov 03 13:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:49.348943 W | etcdserver: request "header:<ID:14919139277659211481 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35866403 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (101.417727ms) to execute
Nov 03 13:16:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:51.912223 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (323.654763ms) to execute
Nov 03 13:16:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:16:51.912382 W | etcdserver: request "header:<ID:14919139277659211517 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:35866408 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:3955 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (255.023776ms) to execute
Nov 03 13:17:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:17:01.104687 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (180.037133ms) to execute
Nov 03 13:17:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:17:02.161129 I | mvcc: store.index: compact 35865009
Nov 03 13:17:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:17:02.169680 I | mvcc: finished scheduled compaction at 35865009 (took 6.460665ms)
Nov 03 13:17:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:17:09.982251 W | etcdserver: request "header:<ID:14919139277659211644 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35866437 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (581.243675ms) to execute
Nov 03 13:17:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:17:17.478780 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (172.811311ms) to execute
Nov 03 13:17:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:17:22.816229 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (314.314113ms) to execute
Nov 03 13:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 13:17:43.029849 W | etcdserver: request "header:<ID:14919139277659211952 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:35866546 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (214.660817ms) to execute
