-- Logs begin at Sun 2019-12-15 19:38:11 UTC, end at Tue 2019-12-17 11:12:06 UTC. --
Dec 17 10:54:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:54:27.157907 I | mvcc: store.index: compact 44534224
Dec 17 10:54:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:54:27.165466 I | mvcc: finished scheduled compaction at 44534224 (took 6.122421ms)
Dec 17 10:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:54:43.670645 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (338.616488ms) to execute
Dec 17 10:59:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:59:25.823327 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (121.369583ms) to execute
Dec 17 10:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:59:27.172575 I | mvcc: store.index: compact 44534947
Dec 17 10:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:59:27.178649 I | mvcc: finished scheduled compaction at 44534947 (took 5.336288ms)
Dec 17 11:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:00:39.234810 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2ndgl\" " with result "range_response_count:1 size:1118" took too long (409.837433ms) to execute
Dec 17 11:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:00:39.286865 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (226.766989ms) to execute
Dec 17 11:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:00:39.288183 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1428" took too long (105.723393ms) to execute
Dec 17 11:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:00:39.288314 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-42jdp\" " with result "range_response_count:1 size:1121" took too long (461.411868ms) to execute
Dec 17 11:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:00:39.289532 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (441.623948ms) to execute
Dec 17 11:01:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:01:39.084182 W | etcdserver: request "header:<ID:14919139277705509945 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-vlgr6.15e1239c553dbe9e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-vlgr6.15e1239c553dbe9e\" value_size:389 lease:5695767240850733512 >> failure:<>>" with result "size:20" took too long (109.150264ms) to execute
Dec 17 11:03:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:03:20.806343 W | etcdserver: request "header:<ID:14919139277705511095 > lease_revoke:<id:4f0b6e20ca36699a>" with result "size:29" took too long (215.871749ms) to execute
Dec 17 11:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:04:27.183524 I | mvcc: store.index: compact 44535753
Dec 17 11:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:04:27.188942 I | mvcc: finished scheduled compaction at 44535753 (took 4.703218ms)
Dec 17 11:05:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:05:44.852743 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (177.332766ms) to execute
Dec 17 11:07:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:07:07.976047 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (139.752877ms) to execute
Dec 17 11:07:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:07:34.187010 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (100.88744ms) to execute
Dec 17 11:07:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:07:34.187273 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (100.939654ms) to execute
Dec 17 11:08:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:08:39.776734 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (133.937215ms) to execute
Dec 17 11:08:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 11:08:39.776908 W | etcdserver: request "header:<ID:14919139277705514316 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44537670 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (117.450117ms) to execute
