-- Logs begin at Wed 2019-12-18 04:30:31 UTC, end at Thu 2019-12-19 14:10:44 UTC. --
Dec 19 13:50:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:50:54.875229 I | mvcc: store.index: compact 45050611
Dec 19 13:50:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:50:54.884363 I | mvcc: finished scheduled compaction at 45050611 (took 7.284309ms)
Dec 19 13:51:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:51:24.446044 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (172.203238ms) to execute
Dec 19 13:53:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:53:10.432919 W | etcdserver: request "header:<ID:14919139277707548093 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1ca219fdd7445\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1ca219fdd7445\" value_size:354 lease:5695767240852772225 >> failure:<>>" with result "size:20" took too long (108.031795ms) to execute
Dec 19 13:53:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:53:45.145873 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (762.535708ms) to execute
Dec 19 13:53:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:53:45.146113 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (276.484076ms) to execute
Dec 19 13:55:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:55:05.575790 W | etcdserver: read-only range request "key:\"/registry/services/specs/kube-system/prometheus-operator-kubelet\" " with result "range_response_count:1 size:312" took too long (108.959555ms) to execute
Dec 19 13:55:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:55:39.919929 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (179.632027ms) to execute
Dec 19 13:55:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:55:39.920241 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (178.686285ms) to execute
Dec 19 13:55:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:55:54.886796 I | mvcc: store.index: compact 45052013
Dec 19 13:55:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:55:54.896524 I | mvcc: finished scheduled compaction at 45052013 (took 7.857905ms)
Dec 19 13:57:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:57:05.361562 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (375.143523ms) to execute
Dec 19 13:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:58:40.968083 W | etcdserver: request "header:<ID:14919139277707551001 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-kp4k6\" mod_revision:45053132 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-kp4k6\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-kp4k6\" > >>" with result "size:20" took too long (128.789669ms) to execute
Dec 19 13:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:58:40.968734 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (153.158576ms) to execute
Dec 19 13:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:58:40.968857 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (148.813412ms) to execute
Dec 19 13:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:58:40.969048 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (110.771118ms) to execute
Dec 19 13:58:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:58:40.969135 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f4l6f\" " with result "range_response_count:1 size:1121" took too long (132.701934ms) to execute
Dec 19 13:59:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:59:25.337119 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (245.485623ms) to execute
Dec 19 13:59:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 13:59:25.337298 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (125.660548ms) to execute
Dec 19 14:00:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:00:15.801286 W | etcdserver: request "header:<ID:14919139277707551912 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45053431 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (292.423039ms) to execute
Dec 19 14:00:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:00:15.801427 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (200.931276ms) to execute
Dec 19 14:00:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:00:51.637137 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (205.761249ms) to execute
Dec 19 14:00:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:00:54.899476 I | mvcc: store.index: compact 45052764
Dec 19 14:00:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:00:54.905015 I | mvcc: finished scheduled compaction at 45052764 (took 4.456155ms)
Dec 19 14:01:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:01:56.528220 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kp4k6\" " with result "range_response_count:1 size:1734" took too long (175.755464ms) to execute
Dec 19 14:02:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:02:30.838790 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1911" took too long (156.742337ms) to execute
Dec 19 14:03:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:03:06.480943 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kp4k6\" " with result "range_response_count:1 size:1734" took too long (127.424975ms) to execute
Dec 19 14:03:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:03:26.325204 W | etcdserver: request "header:<ID:14919139277707553661 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45053926 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (117.283414ms) to execute
Dec 19 14:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:05:54.919019 I | mvcc: store.index: compact 45053543
Dec 19 14:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:05:54.929998 I | mvcc: finished scheduled compaction at 45053543 (took 9.251022ms)
Dec 19 14:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:40.524408 W | etcdserver: request "header:<ID:14919139277707555408 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:45054437 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:1019 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (139.549887ms) to execute
Dec 19 14:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:40.524600 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (346.670417ms) to execute
Dec 19 14:06:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:41.707254 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (117.335958ms) to execute
Dec 19 14:06:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:42.011418 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (275.737173ms) to execute
Dec 19 14:06:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:44.635636 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (360.188126ms) to execute
Dec 19 14:06:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:45.041111 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (395.910556ms) to execute
Dec 19 14:06:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:45.194927 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (150.15816ms) to execute
Dec 19 14:06:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:45.195196 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (482.07315ms) to execute
Dec 19 14:06:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:47.330847 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (124.930758ms) to execute
Dec 19 14:06:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:49.104821 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (110.820209ms) to execute
Dec 19 14:06:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:49.412925 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (294.836825ms) to execute
Dec 19 14:06:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:49.413030 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (176.408067ms) to execute
Dec 19 14:06:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:49.413120 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (146.84504ms) to execute
Dec 19 14:06:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:51.975933 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (165.799157ms) to execute
Dec 19 14:06:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:54.258993 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (192.705187ms) to execute
Dec 19 14:06:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:06:54.259142 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (157.065611ms) to execute
Dec 19 14:07:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:07:02.920706 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qbzrv\" " with result "range_response_count:1 size:1851" took too long (256.263412ms) to execute
