-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Thu 2019-11-07 20:09:16 UTC. --
Nov 07 19:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:48:02.766535 N | compactor: Starting auto-compaction at revision 36777775
Nov 07 19:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:48:02.766932 N | compactor: Finished auto-compaction at revision 36777775
Nov 07 19:48:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:48:52.520091 I | mvcc: store.index: compact 36856551
Nov 07 19:48:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:48:52.525299 I | mvcc: finished scheduled compaction at 36856551 (took 3.995254ms)
Nov 07 19:49:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:18.784729 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (143.984414ms) to execute
Nov 07 19:49:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:18.785544 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (123.30594ms) to execute
Nov 07 19:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:19.049624 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (200.413654ms) to execute
Nov 07 19:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:19.050149 W | etcdserver: request "header:<ID:14919139277663067941 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-7hhff.15d4f93108c4871d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-7hhff.15d4f93108c4871d\" value_size:444 lease:5695767240808292086 >> failure:<>>" with result "size:20" took too long (158.292472ms) to execute
Nov 07 19:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:19.064083 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (184.668524ms) to execute
Nov 07 19:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:19.064382 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (185.595769ms) to execute
Nov 07 19:49:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:33.818375 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (158.583428ms) to execute
Nov 07 19:49:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:33.853603 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (188.753651ms) to execute
Nov 07 19:49:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:33.854182 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (187.864501ms) to execute
Nov 07 19:49:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:49:33.854648 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mhs74\" " with result "range_response_count:1 size:2738" took too long (184.585521ms) to execute
Nov 07 19:52:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:52:42.335058 W | wal: sync duration of 2.005229251s, expected less than 1s
Nov 07 19:52:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:52:42.339545 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (1.483074445s) to execute
Nov 07 19:52:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:52:42.343747 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.169101456s) to execute
Nov 07 19:52:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:52:42.343818 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (239.227849ms) to execute
Nov 07 19:52:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:52:42.344017 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-q78j6\" " with result "range_response_count:1 size:2440" took too long (1.054410253s) to execute
Nov 07 19:52:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:52:42.344284 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.087809814s) to execute
Nov 07 19:52:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:52:42.344302 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (240.207646ms) to execute
