-- Logs begin at Mon 2019-12-16 06:00:50 UTC, end at Tue 2019-12-17 18:00:27 UTC. --
Dec 17 17:39:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:39:45.906392 I | mvcc: store.index: compact 44604517
Dec 17 17:39:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:39:45.915065 I | mvcc: finished scheduled compaction at 44604517 (took 7.223418ms)
Dec 17 17:39:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:39:46.351755 W | etcdserver: request "header:<ID:14919139277705778202 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:44605188 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (232.051155ms) to execute
Dec 17 17:44:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:44:45.919986 I | mvcc: store.index: compact 44605205
Dec 17 17:44:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:44:45.928533 I | mvcc: finished scheduled compaction at 44605205 (took 6.481094ms)
Dec 17 17:45:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:45:59.482491 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (367.672812ms) to execute
Dec 17 17:47:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:47:54.716175 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (109.960017ms) to execute
Dec 17 17:47:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:47:54.716279 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (110.267358ms) to execute
Dec 17 17:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:47:59.146117 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (170.428651ms) to execute
Dec 17 17:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:47:59.686330 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (156.477457ms) to execute
Dec 17 17:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:47:59.905701 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (178.928671ms) to execute
Dec 17 17:48:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:48:04.795893 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-q6wnm\" " with result "range_response_count:1 size:2946" took too long (111.307335ms) to execute
Dec 17 17:48:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:48:04.902054 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (142.75578ms) to execute
Dec 17 17:48:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:48:10.404427 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (439.864642ms) to execute
Dec 17 17:48:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:48:10.404577 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (272.903449ms) to execute
Dec 17 17:48:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:48:11.830499 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (209.023851ms) to execute
