-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Fri 2019-12-20 22:25:59 UTC. --
Dec 20 22:03:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:03:49.711454 W | etcdserver: request "header:<ID:14919139277708870214 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-qjdrw.15e2337c8c1bc8fa\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-qjdrw.15e2337c8c1bc8fa\" value_size:392 lease:5695767240854094181 >> failure:<>>" with result "size:20" took too long (134.128113ms) to execute
Dec 20 22:03:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:03:49.712282 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (153.17196ms) to execute
Dec 20 22:03:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:03:49.734169 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (173.285956ms) to execute
Dec 20 22:03:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:03:49.734309 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (174.010556ms) to execute
Dec 20 22:03:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:03:49.734503 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qjdrw\" " with result "range_response_count:1 size:2946" took too long (152.793414ms) to execute
Dec 20 22:04:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:04:54.410109 I | etcdserver: start to snapshot (applied: 50026147, lastsnap: 50016146)
Dec 20 22:04:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:04:54.483063 I | etcdserver: saved snapshot at index 50026147
Dec 20 22:04:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:04:54.483700 I | etcdserver: compacted raft log at 50021147
Dec 20 22:05:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:05:16.712996 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002fa934e.snap successfully
Dec 20 22:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:06:19.385212 I | mvcc: store.index: compact 45390997
Dec 20 22:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:06:19.393320 I | mvcc: finished scheduled compaction at 45390997 (took 6.227133ms)
Dec 20 22:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:06:19.841821 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (140.751556ms) to execute
Dec 20 22:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:06:19.841857 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (270.610077ms) to execute
Dec 20 22:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:06:19.841933 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (229.465175ms) to execute
Dec 20 22:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:06:19.842014 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (278.40637ms) to execute
Dec 20 22:06:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:06:19.842078 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/zipkins\" range_end:\"/registry/config.istio.io/zipkint\" count_only:true " with result "range_response_count:0 size:7" took too long (110.220649ms) to execute
Dec 20 22:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:22.739282 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-s67l5\" " with result "range_response_count:1 size:3010" took too long (120.24562ms) to execute
Dec 20 22:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:22.739371 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (143.421368ms) to execute
Dec 20 22:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:22.739469 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (154.876674ms) to execute
Dec 20 22:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:22.739575 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (143.420255ms) to execute
Dec 20 22:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:22.739724 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (139.785392ms) to execute
Dec 20 22:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:22.979917 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-pilot.15e22dafe2be5e5d\" " with result "range_response_count:0 size:7" took too long (148.541777ms) to execute
Dec 20 22:07:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:22.980411 W | etcdserver: request "header:<ID:14919139277708872693 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" mod_revision:45392096 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" value_size:1585 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" > >>" with result "size:20" took too long (135.531096ms) to execute
Dec 20 22:07:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:07:23.001182 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (169.51681ms) to execute
